tipo_celular,module_size,RPL7L1_MM,RPL7L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.125,28.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624,0.111,19.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656,0.136,82.0,136,9,6.62,2.06 (1.43-2.69),127,93.38,3.30 (3.02-3.58),6.63,4.87
oligodendrocyte progenitor cells 7,296,0.137,21.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,599,0.234,64.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685,0.095,26.0,135,20,14.81,2.17 (1.59-2.75),115,85.19,3.39 (3.06-3.73),5.86,3.38
da like neurons 11,1220,0.138,33.0,410,14,3.41,3.26 (2.41-4.12),396,96.59,4.29 (4.10-4.48),13.90,7.29
GABA neurons expressing GABA receptors 13,238,0.142,35.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,916,0.101,15.0,302,14,4.64,4.23 (2.98-5.49),288,95.36,3.97 (3.74-4.19),34.63,9.49
oligodendrocytes 20,938,0.123,49.0,169,15,8.88,2.98 (2.08-3.87),154,91.12,3.54 (3.32-3.76),14.50,4.47
GABA like neurons 14,2402,0.282,62.0,455,29,6.37,2.71 (1.93-3.50),426,93.63,4.49 (4.31-4.67),23.58,7.83
astrocytes 8,218,0.059,33.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.073,42.0,276,21,7.61,1.64 (1.33-1.94),255,92.39,3.75 (3.53-3.97),8.70,4.81
oligodendrocytes 10,483,0.101,43.0,129,14,10.85,4.82 (3.83-5.81),115,89.15,3.25 (2.84-3.66),34.26,17.36
connective tissue cells 21,139,0.352,75.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,418,0.077,42.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,82,0.169,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.141,60.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,111,0.344,60.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807,0.154,68.0,104,20,19.23,1.55 (1.21-1.89),84,80.77,3.21 (2.91-3.51),6.99,5.02
oligodendrocytes 0,613,0.119,24.0,127,5,3.94,1.58 (1.21-1.96),122,96.06,3.15 (2.72-3.58),3.05,6.41
microglia 1,1615,0.08,9.0,161,22,13.66,1.27 (0.95-1.60),139,86.34,3.67 (3.41-3.93),10.13,4.69
oligodendrocytes 3,743,0.065,24.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,1630,0.181,99.0,154,3,1.95,5.49 (4.18-6.81),151,98.05,3.19 (2.93-3.46),2.87,3.61
