tipo_celular,module_size,GTF2I_MM,GTF2I_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.089,8.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),1.77,2.38
T cells 18,727,0.093,12.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,118,0.205,38.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436,0.054,6.0,219,7,3.2,3.71 (2.69-4.73),212,96.8,5.29 (4.99-5.58),7.41,4.52
GABA neurons expressing GLU receptors 22,192,0.015,0.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,1247,0.145,59.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,109,0.167,32.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,238,0.149,41.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450,0.114,17.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.244,46.0,110,11,10.0,2.90 (1.84-3.95),99,90.0,5.34 (4.89-5.78),3.30,3.55
GABA like neurons 14,2402,0.034,1.0,455,17,3.74,1.34 (0.87-1.82),438,96.26,4.51 (4.33-4.68),22.20,8.32
astrocytes 8,283,0.161,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254,0.094,18.0,37,5,13.51,3.34 (2.72-3.96),32,86.49,4.72 (4.07-5.37),2.29,2.50
oligodendrocytes 10,236,0.337,15.0,82,12,14.63,4.83 (3.97-5.69),70,85.37,5.03 (4.42-5.64),3.48,3.90
connective tissue cells 21,250,0.165,9.0,117,6,5.13,2.92 (2.06-3.78),111,94.87,5.56 (5.16-5.95),3.59,3.75
astrocytes 15,268,0.357,96.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,287,0.338,58.0,105,13,12.38,3.12 (2.07-4.16),92,87.62,5.52 (5.10-5.94),3.06,3.53
da neurons 6,553,0.13,52.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,57,0.133,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251,0.062,1.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,261,0.145,26.0,42,9,21.43,2.42 (1.16-3.69),33,78.57,4.70 (4.03-5.38),2.44,2.23
microglia 1,1615,0.123,68.0,161,47,29.19,1.99 (1.72-2.27),114,70.81,3.98 (3.68-4.28),9.87,3.60
oligodendrocytes 3,127,0.298,64.0,45,8,17.78,2.96 (1.95-3.97),37,82.22,4.92 (3.88-5.96),2.19,6.73
oligodendrocytes 2,528,0.096,3.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80),3.84,4.63
