tipo_celular,module_size,TRIP12_MM,TRIP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.207,74.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47),4.44,4.91
T cells 18,727,0.168,69.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,1141,0.155,81.0,166,55,33.13,2.99 (2.63-3.35),111,66.87,3.60 (3.27-3.93),6.35,3.66
oligodendrocyte progenitor cells 7,448,0.169,72.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.239,90.0,37,2,5.41,2.74 (NA-NA),35,94.59,2.14 (1.67-2.60),1.80,3.18
GLU like neurons 17,1316,0.14,65.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,59,0.473,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.203,70.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,412,0.145,35.0,141,5,3.55,0.90 (0.75-1.04),136,96.45,3.01 (2.77-3.25),5.02,6.89
oligodendrocytes 20,279,0.168,34.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300,0.092,8.0,306,18,5.88,2.24 (1.77-2.71),288,94.12,5.37 (5.11-5.62),6.52,6.72
astrocytes 8,771,0.097,40.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,103,0.459,55.0,9,1,11.11,NA,8,88.89,3.60 (1.89-5.31),2.15,2.92
oligodendrocytes 10,2107,0.196,68.0,358,79,22.07,2.57 (2.23-2.90),279,77.93,4.27 (4.07-4.47),21.94,5.94
connective tissue cells 21,145,0.206,8.0,1,1,100.0,NA,0,0.0,NA,1.58,NA
astrocytes 15,1768,0.124,81.0,105,35,33.33,2.44 (2.05-2.83),70,66.67,3.61 (3.18-4.05),6.12,2.91
oligodendrocytes 16,105,0.093,0.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,518,0.097,35.0,122,20,16.39,2.43 (1.79-3.06),102,83.61,4.39 (3.97-4.81),3.16,3.55
astrocytes microglia 23,89,0.261,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.161,62.0,96,15,15.62,3.83 (3.16-4.49),81,84.38,3.20 (2.83-3.57),2.82,4.60
oligodendrocytes 0,309,0.136,52.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813,0.125,60.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854,0.129,83.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,804,0.169,68.0,84,31,36.9,3.28 (2.76-3.80),53,63.1,2.34 (1.93-2.74),3.73,3.20
