tipo_celular,module_size,TUBA1B_MM,TUBA1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.335,87.0,140,7,5.0,3.51 (2.47-4.55),133,95.0,4.59 (4.15-5.04),2.38,3.63
T cells 18,282,0.456,97.0,241,12,4.98,3.23 (2.59-3.87),229,95.02,4.10 (3.84-4.36),2.18,4.45
astrocytes 5,228,0.488,98.0,266,36,13.53,2.94 (2.36-3.53),230,86.47,4.31 (4.10-4.53),4.82,5.00
oligodendrocyte progenitor cells 7,296,0.505,98.0,251,13,5.18,4.63 (4.04-5.22),238,94.82,4.03 (3.78-4.28),2.94,6.33
GABA neurons expressing GLU receptors 22,848,0.5,98.0,262,28,10.69,2.71 (2.09-3.34),234,89.31,4.31 (4.06-4.57),5.17,3.98
GLU like neurons 17,1316,0.222,97.0,101,4,3.96,2.73 (2.33-3.12),97,96.04,3.06 (2.70-3.42),2.38,3.08
da like neurons 11,1220,0.638,100.0,410,27,6.59,3.06 (2.39-3.73),383,93.41,4.32 (4.12-4.51),6.55,7.58
GABA neurons expressing GABA receptors 13,357,0.048,0.0,237,10,4.22,2.87 (2.19-3.54),227,95.78,4.49 (4.25-4.73),3.32,4.22
endothelial cells 9,338,0.323,89.0,191,5,2.62,4.05 (2.47-5.63),186,97.38,3.88 (3.65-4.11),4.85,9.27
oligodendrocytes 20,938,0.15,61.0,169,10,5.92,1.82 (0.85-2.79),159,94.08,3.56 (3.34-3.77),4.28,5.43
GABA like neurons 14,2402,0.706,99.0,455,25,5.49,2.02 (1.35-2.69),430,94.51,4.45 (4.27-4.64),16.94,8.36
astrocytes 8,520,0.554,99.0,288,21,7.29,3.64 (2.81-4.46),267,92.71,4.21 (4.00-4.41),7.33,4.48
oligodendrocyte progenitor cells 12,3303,0.127,92.0,276,24,8.7,2.51 (2.05-2.98),252,91.3,3.66 (3.42-3.89),7.09,4.92
oligodendrocytes 10,806,0.556,98.0,261,30,11.49,3.80 (3.22-4.37),231,88.51,4.43 (4.17-4.69),3.50,6.40
connective tissue cells 21,101,0.52,91.0,116,18,15.52,3.64 (2.95-4.32),98,84.48,4.89 (4.41-5.36),3.29,3.21
astrocytes 15,261,0.164,58.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,313,0.454,91.0,291,37,12.71,3.28 (2.79-3.76),254,87.29,4.48 (4.24-4.72),4.58,3.70
da neurons 6,409,0.105,38.0,235,12,5.11,3.30 (1.90-4.71),223,94.89,4.00 (3.75-4.26),3.27,4.48
astrocytes microglia 23,70,0.498,92.0,76,15,19.74,4.85 (4.52-5.18),61,80.26,3.96 (3.29-4.64),4.30,4.59
astrocytes 4,157,0.461,92.0,178,23,12.92,3.08 (2.30-3.86),155,87.08,4.33 (4.06-4.61),4.00,4.57
oligodendrocytes 0,116,0.357,84.0,169,9,5.33,4.03 (3.05-5.01),160,94.67,4.29 (3.98-4.61),3.77,6.64
microglia 1,214,0.41,93.0,227,8,3.52,4.56 (3.75-5.36),219,96.48,4.07 (3.82-4.31),3.30,6.22
oligodendrocytes 3,457,0.483,100.0,345,34,9.86,3.22 (2.78-3.65),311,90.14,4.41 (4.19-4.63),4.67,5.80
oligodendrocytes 2,526,0.43,86.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26),31.00,7.83
