tipo_celular,module_size,RHEB_MM,RHEB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.205,45.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727,0.128,37.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,423,0.207,78.0,80,2,2.5,2.30 (-0.17-4.76),78,97.5,3.44 (2.95-3.92),2.42,5.09
oligodendrocyte progenitor cells 7,666,0.247,84.0,127,20,15.75,2.50 (1.98-3.02),107,84.25,4.14 (3.77-4.50),4.29,6.13
GABA neurons expressing GLU receptors 22,599,0.226,60.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.114,38.0,135,32,23.7,2.55 (2.04-3.06),103,76.3,3.35 (3.00-3.70),3.95,3.69
da like neurons 11,1220,0.243,69.0,410,39,9.51,3.72 (3.11-4.34),371,90.49,4.30 (4.10-4.49),10.73,7.18
GABA neurons expressing GABA receptors 13,417,0.148,42.0,213,25,11.74,2.32 (1.59-3.05),188,88.26,3.97 (3.72-4.21),8.17,9.89
endothelial cells 9,385,0.099,45.0,275,26,9.45,1.68 (1.08-2.27),249,90.55,4.19 (3.93-4.45),7.12,5.75
oligodendrocytes 20,271,0.142,36.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402,0.321,70.0,455,43,9.45,3.07 (2.33-3.81),412,90.55,4.46 (4.28-4.65),18.00,7.88
astrocytes 8,577,0.15,81.0,83,3,3.61,1.75 (0.81-2.69),80,96.39,3.32 (2.86-3.78),2.86,4.53
oligodendrocyte progenitor cells 12,3303,0.068,36.0,276,22,7.97,2.54 (1.89-3.18),254,92.03,3.65 (3.42-3.87),6.39,5.00
oligodendrocytes 10,735,0.238,94.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.45,8.97
connective tissue cells 21,142,0.402,92.0,55,5,9.09,1.93 (0.19-3.68),50,90.91,3.74 (2.83-4.65),2.91,3.32
astrocytes 15,377,0.114,21.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,313,0.208,45.0,291,36,12.37,3.67 (3.09-4.24),255,87.63,4.43 (4.19-4.67),4.56,3.71
da neurons 6,729,0.162,56.0,182,4,2.2,7.70 (NA-NA),178,97.8,3.61 (3.36-3.86),1.57,8.68
astrocytes microglia 23,327,0.357,61.0,120,49,40.83,2.44 (2.10-2.77),71,59.17,4.40 (4.08-4.72),3.14,2.56
astrocytes 4,514,0.278,81.0,95,12,12.63,2.25 (1.65-2.85),83,87.37,3.59 (3.12-4.06),2.54,4.94
oligodendrocytes 0,2078,0.108,37.0,238,12,5.04,3.98 (2.66-5.29),226,94.96,3.62 (3.40-3.84),5.54,4.99
microglia 1,958,0.135,80.0,290,8,2.76,1.79 (1.24-2.33),282,97.24,3.89 (3.66-4.12),6.12,4.97
oligodendrocytes 3,457,0.116,51.0,345,42,12.17,3.91 (3.41-4.41),303,87.83,4.33 (4.10-4.56),9.68,5.14
oligodendrocytes 2,921,0.118,20.0,200,3,1.5,3.86 (0.19-7.52),197,98.5,3.62 (3.35-3.88),2.58,3.48
