tipo_celular,module_size,KIF1B_MM,KIF1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.201,57.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.296,79.0,68,16,23.53,3.54 (2.25-4.82),52,76.47,4.59 (3.99-5.20),3.20,3.35
astrocytes 5,222,0.168,32.0,98,3,3.06,0.79 (NA-NA),95,96.94,4.65 (4.24-5.05),1.64,2.68
oligodendrocyte progenitor cells 7,436,0.076,16.0,219,13,5.94,5.09 (4.33-5.86),206,94.06,5.22 (4.92-5.52),10.36,4.25
GABA neurons expressing GLU receptors 22,192,0.086,15.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,795,0.109,38.0,80,4,5.0,4.40 (4.24-4.56),76,95.0,5.75 (5.32-6.18),3.95,2.96
da like neurons 11,853,0.213,86.0,133,9,6.77,1.19 (0.52-1.85),124,93.23,3.43 (3.12-3.75),5.14,4.09
GABA neurons expressing GABA receptors 13,266,0.148,44.0,118,13,11.02,5.19 (4.09-6.29),105,88.98,4.70 (4.33-5.07),3.27,4.08
endothelial cells 9,450,0.311,70.0,74,10,13.51,5.06 (3.75-6.37),64,86.49,5.51 (4.91-6.11),3.39,3.67
oligodendrocytes 20,228,0.07,12.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,1300,0.162,28.0,306,26,8.5,3.43 (2.50-4.35),280,91.5,5.28 (5.02-5.54),11.95,6.22
astrocytes 8,1266,0.107,71.0,66,11,16.67,1.55 (0.64-2.46),55,83.33,3.63 (3.23-4.02),3.53,2.84
oligodendrocyte progenitor cells 12,254,0.156,23.0,37,2,5.41,2.42 (2.37-2.47),35,94.59,4.64 (4.06-5.22),1.70,2.52
oligodendrocytes 10,204,0.37,32.0,92,1,1.09,5.02 (NA-NA),91,98.91,5.71 (5.23-6.19),1.38,3.75
connective tissue cells 21,250,0.296,45.0,117,2,1.71,3.16 (-0.50-6.81),115,98.29,5.43 (5.03-5.82),2.15,3.77
astrocytes 15,418,0.241,63.0,54,5,9.26,4.41 (1.85-6.98),49,90.74,3.62 (3.19-4.04),3.66,2.95
oligodendrocytes 16,287,0.169,18.0,105,11,10.48,3.72 (1.64-5.79),94,89.52,5.20 (4.76-5.65),4.20,3.38
da neurons 6,553,0.216,88.0,124,13,10.48,4.42 (2.55-6.29),111,89.52,4.17 (3.76-4.57),3.15,3.02
astrocytes microglia 23,166,0.351,75.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,220,0.111,16.0,63,2,3.17,NA,61,96.83,5.13 (4.57-5.69),1.84,3.34
oligodendrocytes 0,261,0.055,1.0,42,15,35.71,3.23 (2.12-4.33),27,64.29,4.44 (3.60-5.28),2.07,2.39
microglia 1,127,0.205,58.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,127,0.087,2.0,45,3,6.67,3.15 (0.83-5.46),42,93.33,4.47 (3.56-5.38),2.46,6.17
oligodendrocytes 2,407,0.056,1.0,122,12,9.84,1.00 (0.58-1.41),110,90.16,3.66 (3.28-4.05),3.10,2.66
