tipo_celular,module_size,KDSR_MM,KDSR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.109,15.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.143,89.0,136,7,5.15,3.70 (2.74-4.67),129,94.85,3.18 (2.90-3.46),4.65,5.01
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,16,4.53,1.18 (0.71-1.66),337,95.47,4.06 (3.88-4.23),35.41,6.77
GABA neurons expressing GLU receptors 22,567.0,0.19,49.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,380.0,0.174,51.0,39,2,5.13,2.67 (0.85-4.49),37,94.87,2.98 (2.40-3.56),2.28,2.59
da like neurons 11,408.0,0.125,33.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,65.0,0.125,24.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,385.0,0.131,71.0,275,11,4.0,0.79 (0.49-1.08),264,96.0,4.15 (3.90-4.40),12.59,5.60
oligodendrocytes 20,938.0,0.198,80.0,169,9,5.33,2.50 (1.42-3.58),160,94.67,3.55 (3.33-3.77),4.88,5.39
GABA like neurons 14,2402.0,0.205,43.0,455,20,4.4,2.11 (1.40-2.81),435,95.6,4.49 (4.30-4.67),24.63,8.11
astrocytes 8,771.0,0.079,30.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.056,15.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89),1.61,2.62
oligodendrocytes 10,806.0,0.087,21.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67),7.17,6.03
connective tissue cells 21,104.0,0.261,34.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,208.0,0.037,10.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,87.0,0.269,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.079,16.0,122,18,14.75,2.31 (1.50-3.11),104,85.25,4.34 (3.93-4.74),5.62,3.11
astrocytes microglia 23,137.0,0.205,7.0,188,9,4.79,1.95 (0.88-3.02),179,95.21,4.52 (4.18-4.85),5.58,7.22
astrocytes 4,1807.0,0.17,90.0,104,14,13.46,2.39 (1.49-3.29),90,86.54,2.94 (2.65-3.23),10.05,4.67
oligodendrocytes 0,613.0,0.161,67.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615.0,0.089,21.0,161,13,8.07,0.87 (0.50-1.25),148,91.93,3.53 (3.28-3.79),14.09,4.67
oligodendrocytes 3,743.0,0.138,91.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,528.0,0.257,75.0,175,9,5.14,3.54 (2.90-4.19),166,94.86,4.44 (4.07-4.81),8.36,4.42
