tipo_celular,module_size,GDI2_MM,GDI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.171,28.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727,0.144,52.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656,0.138,84.0,136,3,2.21,1.90 (0.89-2.91),133,97.79,3.24 (2.97-3.52),5.23,4.98
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,37,10.48,2.44 (1.95-2.94),316,89.52,4.11 (3.92-4.30),21.42,6.50
GABA neurons expressing GLU receptors 22,1069,0.263,96.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,637,0.085,14.0,91,22,24.18,2.51 (1.76-3.26),69,75.82,5.53 (5.06-6.00),3.54,2.91
da like neurons 11,82,0.179,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265,0.177,61.0,78,12,15.38,3.58 (2.55-4.61),66,84.62,4.51 (4.07-4.96),4.39,4.24
endothelial cells 9,338,0.094,28.0,191,7,3.66,3.25 (2.62-3.88),184,96.34,3.92 (3.68-4.15),6.87,9.24
oligodendrocytes 20,403,0.101,43.0,18,6,33.33,1.00 (0.12-1.89),12,66.67,2.31 (1.48-3.14),6.69,2.34
GABA like neurons 14,2402,0.074,3.0,455,48,10.55,2.92 (2.35-3.49),407,89.45,4.51 (4.32-4.70),19.58,7.57
astrocytes 8,520,0.148,60.0,288,40,13.89,3.69 (3.16-4.22),248,86.11,4.24 (4.03-4.45),10.11,3.81
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,23,8.33,2.62 (2.03-3.22),253,91.67,3.65 (3.42-3.88),9.06,4.75
oligodendrocytes 10,735,0.122,64.0,277,4,1.44,6.49 (NA-NA),273,98.56,3.88 (3.64-4.12),2.42,9.04
connective tissue cells 21,118,0.221,11.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,261,0.193,77.0,8,4,50.0,2.11 (0.07-4.15),4,50.0,5.77 (3.36-8.18),1.59,2.07
oligodendrocytes 16,155,0.174,25.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,409,0.193,77.0,235,15,6.38,3.55 (2.55-4.55),220,93.62,4.00 (3.74-4.26),6.20,4.29
astrocytes microglia 23,43,0.326,39.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,1807,0.174,94.0,104,13,12.5,2.05 (1.39-2.71),91,87.5,2.99 (2.69-3.29),11.19,4.57
oligodendrocytes 0,613,0.126,32.0,127,5,3.94,3.23 (2.75-3.72),122,96.06,3.04 (2.60-3.48),3.69,6.38
microglia 1,813,0.098,26.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53),3.23,8.09
oligodendrocytes 3,357,0.072,32.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,528,0.204,52.0,175,31,17.71,4.07 (3.43-4.71),144,82.29,4.44 (4.04-4.83),9.11,3.65
