tipo_celular,module_size,MGST3_MM,MGST3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.206,48.0,21,9,42.86,1.26 (0.43-2.09),12,57.14,3.15 (2.62-3.69),2.27,1.80
T cells 18,282,0.193,61.0,241,5,2.07,3.93 (2.81-5.06),236,97.93,4.06 (3.80-4.32),6.02,4.30
astrocytes 5,328,0.107,19.0,128,1,0.78,NA,127,99.22,3.57 (3.23-3.91),2.84,6.79
oligodendrocyte progenitor cells 7,628,0.162,49.0,164,8,4.88,3.19 (2.43-3.95),156,95.12,4.15 (3.81-4.49),8.24,7.49
GABA neurons expressing GLU receptors 22,823,0.273,92.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316,0.21,94.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220,0.264,74.0,410,18,4.39,3.16 (2.59-3.72),392,95.61,4.32 (4.12-4.51),12.06,7.31
GABA neurons expressing GABA receptors 13,417,0.366,100.0,213,21,9.86,1.32 (0.85-1.79),192,90.14,4.08 (3.86-4.30),12.15,9.41
endothelial cells 9,916,0.345,78.0,302,18,5.96,3.03 (2.37-3.68),284,94.04,4.06 (3.83-4.30),11.49,10.60
oligodendrocytes 20,938,0.323,96.0,169,12,7.1,2.13 (1.46-2.81),157,92.9,3.61 (3.39-3.83),4.91,5.40
GABA like neurons 14,2402,0.505,89.0,455,26,5.71,2.13 (1.57-2.70),429,94.29,4.53 (4.35-4.71),23.66,7.94
astrocytes 8,520,0.085,33.0,288,14,4.86,2.77 (2.06-3.48),274,95.14,4.27 (4.07-4.47),5.43,4.65
oligodendrocyte progenitor cells 12,1049,0.161,78.0,235,11,4.68,3.62 (2.92-4.31),224,95.32,3.84 (3.59-4.08),5.74,7.71
oligodendrocytes 10,806,0.183,58.0,261,13,4.98,2.72 (2.22-3.23),248,95.02,4.48 (4.23-4.73),6.78,6.03
connective tissue cells 21,301,0.327,37.0,158,3,1.9,1.39 (-0.26-3.05),155,98.1,4.31 (3.94-4.67),7.21,7.06
astrocytes 15,1401,0.147,89.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,155,0.141,8.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,729,0.4,100.0,182,2,1.1,1.32 (NA-NA),180,98.9,3.65 (3.40-3.90),4.41,8.57
astrocytes microglia 23,327,0.243,20.0,120,7,5.83,1.22 (0.54-1.90),113,94.17,3.80 (3.51-4.09),3.40,2.76
astrocytes 4,721,0.104,2.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,546,0.168,48.0,252,30,11.9,2.24 (1.68-2.81),222,88.1,4.41 (4.17-4.66),8.87,8.12
microglia 1,214,0.132,28.0,227,6,2.64,2.64 (1.74-3.54),221,97.36,4.15 (3.91-4.38),7.30,6.09
oligodendrocytes 3,303,0.133,48.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),3.75,11.89
oligodendrocytes 2,526,0.377,80.0,213,9,4.23,3.88 (2.88-4.88),204,95.77,3.98 (3.70-4.26),6.29,8.01
