tipo_celular,module_size,PRPF8_MM,PRPF8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.186,36.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,477,0.133,32.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.085,10.0,136,10,7.35,2.16 (1.56-2.75),126,92.65,3.30 (3.02-3.59),6.12,4.90
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,50,14.16,2.17 (1.77-2.57),303,85.84,4.26 (4.08-4.43),23.96,5.44
GABA neurons expressing GLU receptors 22,848,0.236,60.0,262,11,4.2,1.66 (1.08-2.24),251,95.8,4.32 (4.07-4.56),5.50,4.04
GLU like neurons 17,229,0.225,66.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,853,0.123,44.0,133,31,23.31,1.78 (1.43-2.14),102,76.69,3.79 (3.45-4.13),5.25,3.83
GABA neurons expressing GABA receptors 13,200,0.177,67.0,34,2,5.88,3.65 (NA-NA),32,94.12,3.90 (2.98-4.81),2.04,3.58
endothelial cells 9,559,0.065,8.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,298,0.07,25.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA),1.62,2.01
GABA like neurons 14,2402,0.112,12.0,455,48,10.55,2.44 (1.98-2.90),407,89.45,4.62 (4.44-4.80),14.85,8.13
astrocytes 8,603,0.063,38.0,89,13,14.61,2.08 (1.40-2.76),76,85.39,2.93 (2.53-3.33),4.95,6.23
oligodendrocyte progenitor cells 12,1049,0.08,41.0,235,14,5.96,3.34 (2.79-3.90),221,94.04,3.85 (3.61-4.10),6.21,7.70
oligodendrocytes 10,483,0.096,41.0,129,4,3.1,4.09 (3.73-4.44),125,96.9,3.40 (2.99-3.81),10.56,19.47
connective tissue cells 21,101,0.321,72.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1768,0.067,30.0,105,27,25.71,1.91 (1.55-2.27),78,74.29,3.72 (3.33-4.10),6.32,3.17
oligodendrocytes 16,69,0.2,39.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,553,0.122,47.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,80,0.237,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.136,24.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.14,93.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,958,0.111,50.0,290,16,5.52,2.98 (2.65-3.32),274,94.48,3.87 (3.63-4.11),6.63,4.90
oligodendrocytes 3,357,0.035,2.0,127,9,7.09,3.44 (2.99-3.88),118,92.91,3.10 (2.74-3.45),5.29,4.16
oligodendrocytes 2,921,0.134,44.0,200,16,8.0,3.04 (2.72-3.37),184,92.0,3.68 (3.39-3.97),4.94,3.34
