tipo_celular,module_size,PARP1_MM,PARP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.073,4.0,98,16,16.33,2.45 (1.75-3.16),82,83.67,3.44 (2.88-4.01),10.09,14.11
T cells 18,506.0,0.17,45.0,225,50,22.22,3.27 (2.88-3.65),175,77.78,3.75 (3.44-4.07),4.47,8.88
astrocytes 5,1656.0,0.118,54.0,136,13,9.56,3.20 (2.15-4.25),123,90.44,3.21 (2.93-3.49),5.64,4.92
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.143,26.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,1316.0,0.174,86.0,101,3,2.97,2.55 (2.05-3.04),98,97.03,3.07 (2.71-3.43),2.85,3.06
da like neurons 11,1220.0,0.168,46.0,410,53,12.93,3.73 (3.44-4.01),357,87.07,4.36 (4.14-4.57),13.20,6.67
GABA neurons expressing GABA receptors 13,357.0,0.189,63.0,237,5,2.11,3.49 (2.12-4.86),232,97.89,4.43 (4.19-4.66),4.47,4.18
endothelial cells 9,559.0,0.113,31.0,155,5,3.23,3.83 (2.92-4.73),150,96.77,4.36 (3.98-4.73),2.42,4.39
oligodendrocytes 20,938.0,0.109,41.0,169,42,24.85,3.50 (3.16-3.83),127,75.15,3.47 (3.20-3.75),3.55,5.96
GABA like neurons 14,2402.0,0.176,33.0,455,71,15.6,3.09 (2.75-3.43),384,84.4,4.68 (4.48-4.88),15.52,7.60
astrocytes 8,520.0,0.101,42.0,288,41,14.24,3.58 (3.20-3.95),247,85.76,4.30 (4.07-4.53),5.60,4.53
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.192,86.0,277,20,7.22,4.07 (3.81-4.33),257,92.78,3.87 (3.61-4.14),4.54,9.29
connective tissue cells 21,118.0,0.382,83.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,458.0,0.093,49.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,90.0,0.16,16.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,409.0,0.153,63.0,235,43,18.3,3.76 (3.42-4.11),192,81.7,4.05 (3.73-4.36),4.18,4.47
astrocytes microglia 23,39.0,0.285,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.136,33.0,104,41,39.42,2.33 (1.95-2.72),63,60.58,3.24 (2.87-3.61),8.25,3.54
oligodendrocytes 0,546.0,0.155,42.0,252,61,24.21,3.17 (2.75-3.60),191,75.79,4.52 (4.24-4.80),7.41,8.47
microglia 1,1615.0,0.08,9.0,161,85,52.8,2.58 (2.29-2.87),76,47.2,4.41 (4.06-4.76),7.28,3.37
oligodendrocytes 3,743.0,0.092,63.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.374,92.0,175,15,8.57,4.41 (3.55-5.27),160,91.43,4.37 (3.99-4.75),3.03,4.77
