tipo_celular,module_size,MT-ATP6_MM,MT-ATP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.208,66.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,506,0.142,32.0,225,26,11.56,3.24 (2.79-3.69),199,88.44,3.68 (3.40-3.97),3.47,8.48
astrocytes 5,228,0.213,69.0,266,56,21.05,3.16 (2.84-3.48),210,78.95,4.47 (4.23-4.71),6.50,4.57
oligodendrocyte progenitor cells 7,296,0.193,57.0,251,30,11.95,3.71 (3.51-3.91),221,88.05,4.14 (3.86-4.43),6.94,6.05
GABA neurons expressing GLU receptors 22,192,0.833,100.0,55,29,52.73,3.57 (3.28-3.87),26,47.27,4.71 (3.83-5.60),3.33,3.32
GLU like neurons 17,637,0.211,66.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,1220,0.277,77.0,410,56,13.66,3.46 (3.24-3.69),354,86.34,4.42 (4.21-4.64),15.91,6.19
GABA neurons expressing GABA receptors 13,238,0.384,97.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.228,77.0,191,5,2.62,2.78 (2.32-3.25),186,97.38,3.92 (3.69-4.15),2.10,9.35
oligodendrocytes 20,403,0.145,59.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,1300,0.012,1.0,306,7,2.29,2.20 (1.35-3.05),299,97.71,5.19 (4.93-5.45),2.34,6.81
astrocytes 8,47,0.763,96.0,76,15,19.74,3.36 (3.00-3.72),61,80.26,4.22 (3.85-4.58),5.14,4.48
oligodendrocyte progenitor cells 12,708,0.085,35.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,806,0.336,84.0,261,27,10.34,3.38 (3.01-3.76),234,89.66,4.52 (4.26-4.79),4.21,6.28
connective tissue cells 21,125,0.11,1.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,418,0.381,82.0,54,12,22.22,2.88 (2.33-3.43),42,77.78,3.95 (3.42-4.48),3.67,2.83
oligodendrocytes 16,149,0.314,80.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,553,0.22,89.0,124,4,3.23,2.37 (0.94-3.80),120,96.77,4.27 (3.87-4.67),2.71,3.04
astrocytes microglia 23,46,0.778,96.0,73,47,64.38,3.55 (3.33-3.77),26,35.62,5.50 (4.87-6.12),4.75,6.22
astrocytes 4,157,0.491,96.0,178,56,31.46,3.19 (2.87-3.51),122,68.54,4.80 (4.46-5.13),5.34,4.11
oligodendrocytes 0,116,0.578,98.0,169,11,6.51,3.03 (2.63-3.43),158,93.49,4.39 (4.07-4.70),3.64,6.68
microglia 1,214,0.242,69.0,227,51,22.47,3.54 (3.32-3.76),176,77.53,4.32 (4.01-4.64),8.95,5.30
oligodendrocytes 3,32,0.793,91.0,81,51,62.96,3.52 (3.31-3.73),30,37.04,5.37 (4.76-5.99),8.24,7.22
oligodendrocytes 2,99,0.563,97.0,116,10,8.62,2.97 (2.61-3.32),106,91.38,4.07 (3.75-4.39),3.24,7.61
