tipo_celular,module_size,CYSTM1_MM,CYSTM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.187,70.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.17,64.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,296.0,0.138,23.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,703.0,0.105,10.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,489.0,0.123,39.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,108.0,0.311,80.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,73.0,0.115,13.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,916.0,0.143,29.0,302,8,2.65,2.78 (1.81-3.75),294,97.35,4.01 (3.79-4.24),8.60,10.71
oligodendrocytes 20,275.0,0.196,49.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.17,31.0,455,23,5.05,2.12 (1.40-2.84),432,94.95,4.46 (4.28-4.65),28.34,7.80
astrocytes 8,577.0,0.139,78.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,3,1.09,1.58 (0.56-2.60),273,98.91,3.57 (3.35-3.79),9.13,5.07
oligodendrocytes 10,806.0,0.138,42.0,261,15,5.75,2.83 (2.24-3.43),246,94.25,4.44 (4.19-4.69),9.13,5.88
connective tissue cells 21,116.0,0.315,71.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,443.0,0.137,38.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,82.0,0.2,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.15,49.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,327.0,0.209,12.0,120,19,15.83,2.28 (1.48-3.09),101,84.17,3.78 (3.47-4.09),3.52,2.66
astrocytes 4,514.0,0.222,67.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,546.0,0.081,4.0,252,25,9.92,2.07 (1.42-2.72),227,90.08,4.32 (4.07-4.56),17.27,7.21
microglia 1,346.0,0.192,72.0,43,2,4.65,3.91 (3.91-3.91),41,95.35,3.76 (3.22-4.29),3.12,4.55
oligodendrocytes 3,457.0,0.125,56.0,345,16,4.64,3.20 (2.64-3.76),329,95.36,4.32 (4.10-4.53),17.70,5.11
oligodendrocytes 2,526.0,0.153,16.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
