tipo_celular,module_size,LONP2_MM,LONP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.122,23.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282,0.121,11.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.139,62.0,166,15,9.04,1.89 (1.27-2.52),151,90.96,3.57 (3.32-3.83),7.44,4.26
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,42,11.9,2.26 (1.75-2.77),311,88.1,4.16 (3.98-4.34),23.18,6.02
GABA neurons expressing GLU receptors 22,703,0.128,19.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,229,0.1,10.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,215,0.267,71.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,357,0.083,7.0,237,10,4.22,4.44 (4.10-4.78),227,95.78,4.41 (4.16-4.65),4.18,4.18
endothelial cells 9,1653,0.186,85.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,279,0.188,43.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,1300,0.23,60.0,306,14,4.58,1.77 (1.25-2.28),292,95.42,5.32 (5.07-5.57),5.33,6.77
astrocytes 8,1266,0.118,76.0,66,16,24.24,1.59 (1.08-2.09),50,75.76,3.87 (3.46-4.27),3.74,2.70
oligodendrocyte progenitor cells 12,3303,0.156,100.0,276,27,9.78,2.45 (1.83-3.07),249,90.22,3.70 (3.48-3.93),11.74,4.39
oligodendrocytes 10,2107,0.114,35.0,358,41,11.45,2.01 (1.61-2.42),317,88.55,4.19 (4.00-4.37),24.64,7.51
connective tissue cells 21,88,0.22,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261,0.075,14.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,121,0.101,0.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.115,55.0,122,20,16.39,2.11 (1.57-2.64),102,83.61,4.50 (4.10-4.91),4.46,3.29
astrocytes microglia 23,141,0.23,40.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97),1.65,4.31
astrocytes 4,514,0.112,6.0,95,8,8.42,2.98 (1.60-4.37),87,91.58,3.42 (2.97-3.86),3.01,4.79
oligodendrocytes 0,1186,0.15,60.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.107,46.0,161,28,17.39,1.68 (1.25-2.11),133,82.61,3.68 (3.41-3.95),11.24,4.21
oligodendrocytes 3,1003,0.103,58.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.158,56.0,84,9,10.71,1.68 (0.99-2.36),75,89.29,2.83 (2.47-3.18),3.41,3.39
