tipo_celular,module_size,CNTN1_MM,CNTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.144,35.0,140,4,2.86,4.33 (4.33-4.33),136,97.14,4.51 (4.08-4.94),7.71,3.45
T cells 18,282,0.385,94.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,222,0.231,61.0,98,12,12.24,6.56 (5.22-7.91),86,87.76,4.36 (3.97-4.75),3.71,2.50
oligodendrocyte progenitor cells 7,4285,0.091,5.0,353,7,1.98,1.01 (0.45-1.57),346,98.02,3.96 (3.78-4.15),25.66,7.71
GABA neurons expressing GLU receptors 22,714,0.143,28.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795,0.207,79.0,80,8,10.0,3.14 (1.94-4.35),72,90.0,5.82 (5.42-6.22),4.72,2.82
da like neurons 11,265,0.309,88.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,357,0.172,56.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65),6.47,4.17
endothelial cells 9,586,0.198,46.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,676,0.052,23.0,110,27,24.55,5.27 (4.47-6.07),83,75.45,4.88 (4.34-5.42),5.14,3.00
GABA like neurons 14,1300,0.169,31.0,306,43,14.05,4.49 (3.78-5.19),263,85.95,5.22 (4.94-5.50),15.96,5.19
astrocytes 8,260,0.442,100.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47),1.75,2.20
oligodendrocyte progenitor cells 12,411,0.369,84.0,103,18,17.48,5.58 (4.40-6.76),85,82.52,5.54 (5.14-5.94),3.97,2.90
oligodendrocytes 10,806,0.429,93.0,261,21,8.05,5.47 (4.42-6.52),240,91.95,4.27 (4.03-4.52),6.00,6.07
connective tissue cells 21,250,0.23,25.0,117,34,29.06,4.57 (3.79-5.36),83,70.94,5.79 (5.37-6.20),5.59,2.98
astrocytes 15,418,0.284,69.0,54,4,7.41,3.32 (1.33-5.30),50,92.59,3.71 (3.25-4.16),4.17,2.92
oligodendrocytes 16,313,0.222,52.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,518,0.31,100.0,122,28,22.95,4.38 (3.03-5.73),94,77.05,3.89 (3.53-4.24),3.13,3.59
astrocytes microglia 23,166,0.441,92.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,220,0.25,86.0,63,24,38.1,5.13 (4.34-5.93),39,61.9,5.13 (4.33-5.92),4.04,2.84
oligodendrocytes 0,309,0.403,100.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,214,0.245,70.0,227,14,6.17,3.68 (2.90-4.45),213,93.83,4.11 (3.87-4.36),12.38,5.71
oligodendrocytes 3,94,0.299,92.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,99,0.28,61.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
