tipo_celular,module_size,CELF1_MM,CELF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.22,72.0,73,4,5.48,3.66 (3.10-4.23),69,94.52,3.56 (3.19-3.93),2.04,3.29
T cells 18,727,0.174,72.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,932,0.104,44.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.121,28.0,353,84,23.8,2.78 (2.43-3.13),269,76.2,4.35 (4.17-4.54),16.20,5.52
GABA neurons expressing GLU receptors 22,703,0.07,2.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,1247,0.221,89.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.12,42.0,133,50,37.59,2.37 (1.96-2.78),83,62.41,3.93 (3.55-4.31),5.20,3.54
GABA neurons expressing GABA receptors 13,200,0.148,47.0,34,3,8.82,3.66 (3.64-3.69),31,91.18,3.91 (2.95-4.87),1.81,3.65
endothelial cells 9,1653,0.133,54.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85),1.91,5.55
oligodendrocytes 20,221,0.235,64.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.283,82.0,306,17,5.56,2.21 (1.68-2.75),289,94.44,5.35 (5.10-5.60),7.58,6.65
astrocytes 8,1266,0.17,92.0,66,23,34.85,1.97 (1.48-2.45),43,65.15,4.08 (3.65-4.51),3.57,2.62
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,54,19.57,2.39 (2.05-2.72),222,80.43,3.92 (3.68-4.16),9.03,4.16
oligodendrocytes 10,2107,0.297,89.0,358,91,25.42,2.79 (2.44-3.15),267,74.58,4.39 (4.21-4.58),19.88,5.93
connective tissue cells 21,85,0.169,2.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,367,0.106,25.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,90,0.154,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.157,85.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,45,0.138,0.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,251,0.128,20.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186,0.146,54.0,300,9,3.0,3.72 (2.79-4.65),291,97.0,3.80 (3.59-4.01),6.08,4.10
microglia 1,813,0.088,15.0,79,2,2.53,3.38 (1.85-4.92),77,97.47,3.09 (2.68-3.51),2.84,8.03
oligodendrocytes 3,1003,0.084,36.0,111,14,12.61,5.06 (4.46-5.65),97,87.39,3.02 (2.67-3.38),2.83,4.43
oligodendrocytes 2,407,0.14,32.0,122,51,41.8,2.10 (1.79-2.41),71,58.2,4.73 (4.23-5.22),3.24,2.31
