tipo_celular,module_size,HP1BP3_MM,HP1BP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.194,65.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624,0.174,69.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.088,5.0,166,31,18.67,1.91 (1.56-2.26),135,81.33,3.77 (3.51-4.03),6.70,4.05
oligodendrocyte progenitor cells 7,448,0.262,87.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.226,87.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,637,0.131,38.0,91,9,9.89,0.86 (0.39-1.33),82,90.11,5.11 (4.66-5.55),3.63,3.00
da like neurons 11,408,0.13,34.0,25,9,36.0,1.83 (0.87-2.80),16,64.0,6.89 (5.92-7.86),2.08,2.39
GABA neurons expressing GABA receptors 13,288,0.165,48.0,93,4,4.3,1.11 (0.68-1.54),89,95.7,5.39 (4.92-5.85),2.79,4.00
endothelial cells 9,586,0.155,37.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,330,0.15,41.0,36,16,44.44,1.95 (1.74-2.16),20,55.56,1.90 (1.29-2.50),2.56,3.58
GABA like neurons 14,1300,0.097,9.0,306,11,3.59,2.14 (1.15-3.13),295,96.41,5.26 (5.00-5.51),6.20,6.73
astrocytes 8,771,0.08,30.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,103,0.522,92.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107,0.184,64.0,358,52,14.53,1.71 (1.47-1.96),306,85.47,4.35 (4.17-4.52),28.30,6.27
connective tissue cells 21,111,0.19,3.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00),1.91,1.83
astrocytes 15,1768,0.195,99.0,105,20,19.05,1.49 (1.18-1.80),85,80.95,3.61 (3.25-3.96),6.45,3.40
oligodendrocytes 16,88,0.187,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.127,73.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.215,30.0,47,5,10.64,1.97 (1.44-2.50),42,89.36,2.97 (2.62-3.32),1.98,3.21
astrocytes 4,255,0.15,31.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613,0.215,93.0,127,16,12.6,2.11 (1.76-2.47),111,87.4,3.25 (2.77-3.73),3.72,6.65
microglia 1,1615,0.171,96.0,161,44,27.33,1.76 (1.48-2.05),117,72.67,3.95 (3.68-4.22),10.36,3.58
oligodendrocytes 3,681,0.137,81.0,87,39,44.83,1.95 (1.66-2.25),48,55.17,3.12 (2.76-3.49),5.58,3.15
oligodendrocytes 2,921,0.136,47.0,200,5,2.5,2.06 (0.61-3.51),195,97.5,3.64 (3.37-3.91),5.88,3.40
