tipo_celular,module_size,PLP1_MM,PLP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.507,93.0,15,6,40.0,6.20 (5.24-7.16),9,60.0,5.45 (4.46-6.44),2.36,2.32
T cells 18,349,0.31,80.0,68,15,22.06,4.07 (2.95-5.19),53,77.94,4.48 (3.84-5.13),2.57,3.52
astrocytes 5,165,0.527,95.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01),1.32,2.98
oligodendrocyte progenitor cells 7,229,0.509,97.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.608,99.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.635,99.0,91,10,10.99,2.85 (1.69-4.01),81,89.01,4.80 (4.25-5.35),3.15,3.05
da like neurons 11,408,0.624,96.0,25,6,24.0,1.42 (0.94-1.89),19,76.0,5.68 (4.32-7.04),2.58,2.18
GABA neurons expressing GABA receptors 13,288,0.277,81.0,93,27,29.03,4.24 (3.52-4.96),66,70.97,5.64 (5.02-6.25),5.08,3.49
endothelial cells 9,450,0.544,90.0,74,11,14.86,5.09 (3.96-6.23),63,85.14,5.55 (4.92-6.18),5.38,3.33
oligodendrocytes 20,676,0.11,35.0,110,16,14.55,4.20 (3.19-5.20),94,85.45,5.18 (4.69-5.67),4.51,3.36
GABA like neurons 14,2402,-0.025,,455,5,1.1,3.70 (-0.34-7.75),450,98.9,4.35 (4.16-4.53),8.40,8.84
astrocytes 8,771,0.681,97.0,48,5,10.42,3.98 (-2.28-10.25),43,89.58,4.45 (3.70-5.21),2.51,3.22
oligodendrocyte progenitor cells 12,708,0.617,99.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99),1.80,2.60
oligodendrocytes 10,204,0.615,97.0,92,8,8.7,4.11 (2.25-5.96),84,91.3,5.82 (5.35-6.30),3.49,3.74
connective tissue cells 21,250,0.627,88.0,117,24,20.51,4.00 (3.30-4.70),93,79.49,5.88 (5.47-6.30),5.16,3.37
astrocytes 15,458,0.507,98.0,36,1,2.78,7.59 (NA-NA),35,97.22,3.60 (2.52-4.68),1.70,2.60
oligodendrocytes 16,92,0.203,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.328,89.0,138,16,11.59,3.59 (2.58-4.59),122,88.41,5.01 (4.62-5.39),2.41,2.78
astrocytes microglia 23,54,0.542,84.0,29,6,20.69,4.86 (3.41-6.31),23,79.31,7.09 (6.50-7.67),2.39,2.96
astrocytes 4,102,0.428,91.0,42,4,9.52,5.00 (4.97-5.04),38,90.48,5.73 (4.96-6.50),2.32,3.25
oligodendrocytes 0,546,0.467,100.0,252,11,4.37,2.87 (0.43-5.31),241,95.63,4.12 (3.87-4.37),8.58,8.19
microglia 1,127,0.42,88.0,24,9,37.5,5.15 (3.67-6.64),15,62.5,5.18 (4.40-5.95),2.75,2.31
oligodendrocytes 3,127,0.464,89.0,45,22,48.89,4.74 (3.49-6.00),23,51.11,3.82 (2.71-4.92),2.35,9.34
oligodendrocytes 2,528,0.696,100.0,175,2,1.14,1.29 (NA-NA),173,98.86,4.40 (4.06-4.75),5.11,4.61
