tipo_celular,module_size,PKP4_MM,PKP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.259,72.0,15,4,26.67,4.82 (4.26-5.38),11,73.33,6.35 (5.54-7.15),2.92,2.12
T cells 18,349,0.164,44.0,68,11,16.18,2.87 (1.76-3.98),57,83.82,4.73 (4.14-5.32),2.74,3.42
astrocytes 5,165,0.16,40.0,51,2,3.92,6.20 (3.26-9.13),49,96.08,5.30 (4.61-5.99),2.35,2.98
oligodendrocyte progenitor cells 7,436,0.06,8.0,219,6,2.74,5.44 (4.54-6.33),213,97.26,5.20 (4.90-5.50),6.77,4.55
GABA neurons expressing GLU receptors 22,823,0.331,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,637,0.241,73.0,91,14,15.38,1.50 (0.74-2.26),77,84.62,5.27 (4.83-5.71),3.57,2.97
da like neurons 11,120,0.38,83.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,288,0.19,59.0,93,9,9.68,3.03 (1.48-4.58),84,90.32,5.45 (4.97-5.93),2.73,4.08
endothelial cells 9,658,0.328,83.0,120,9,7.5,4.33 (2.97-5.69),111,92.5,4.63 (4.31-4.96),4.04,3.62
oligodendrocytes 20,676,0.204,43.0,110,16,14.55,3.51 (2.48-4.55),94,85.45,5.34 (4.89-5.80),3.71,3.49
GABA like neurons 14,1300,0.181,37.0,306,26,8.5,3.40 (2.55-4.25),280,91.5,5.32 (5.06-5.58),7.38,6.64
astrocytes 8,771,0.424,89.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24),1.67,3.21
oligodendrocyte progenitor cells 12,708,0.48,97.0,32,8,25.0,1.29 (0.24-2.33),24,75.0,4.03 (3.19-4.87),4.06,2.11
oligodendrocytes 10,204,0.391,35.0,92,8,8.7,5.01 (3.68-6.35),84,91.3,5.82 (5.31-6.32),6.00,3.50
connective tissue cells 21,106,0.222,25.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,458,0.173,79.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.73,2.60
oligodendrocytes 16,287,0.143,11.0,105,16,15.24,2.66 (1.85-3.46),89,84.76,5.68 (5.29-6.07),2.88,3.57
da neurons 6,398,0.22,73.0,138,23,16.67,3.88 (2.75-5.00),115,83.33,5.04 (4.68-5.41),2.79,2.72
astrocytes microglia 23,101,0.231,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.145,38.0,96,3,3.12,2.10 (1.06-3.14),93,96.88,3.34 (3.00-3.67),2.50,4.38
oligodendrocytes 0,309,0.156,72.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,127,0.251,67.0,24,6,25.0,4.49 (3.05-5.93),18,75.0,5.48 (4.71-6.25),2.27,2.54
oligodendrocytes 3,639,0.133,75.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,131,0.355,95.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44),1.84,4.17
