tipo_celular,module_size,PPP2R5E_MM,PPP2R5E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.2,61.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610,0.145,44.0,98,11,11.22,1.11 (0.54-1.68),87,88.78,3.41 (3.10-3.71),9.79,3.31
astrocytes 5,1141,0.101,15.0,166,5,3.01,2.06 (0.45-3.66),161,96.99,3.44 (3.19-3.69),7.20,4.47
oligodendrocyte progenitor cells 7,4285,0.167,92.0,353,12,3.4,1.06 (0.53-1.60),341,96.6,4.02 (3.84-4.20),44.71,6.77
GABA neurons expressing GLU receptors 22,1069,0.24,90.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.113,33.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,265,0.105,15.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,238,0.221,75.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.143,62.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330,0.096,19.0,36,1,2.78,1.71 (NA-NA),35,97.22,1.93 (1.57-2.28),6.22,3.04
GABA like neurons 14,1300,0.193,44.0,306,5,1.63,3.23 (2.39-4.08),301,98.37,5.14 (4.87-5.40),4.56,6.74
astrocytes 8,771,0.033,3.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303,0.072,40.0,276,5,1.81,1.24 (0.72-1.76),271,98.19,3.60 (3.38-3.81),17.33,4.88
oligodendrocytes 10,735,0.059,19.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,126,0.226,16.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,443,0.031,2.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,87,0.08,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.127,73.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,43,0.177,0.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,721,0.141,29.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186,0.153,65.0,300,6,2.0,4.61 (4.05-5.18),294,98.0,3.77 (3.56-3.98),2.16,4.20
microglia 1,813,0.102,31.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854,0.086,45.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,804,0.142,37.0,84,2,2.38,0.87 (0.71-1.03),82,97.62,2.74 (2.41-3.08),2.95,3.41
