tipo_celular,module_size,GPBP1_MM,GPBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.177,44.0,102,17,16.67,1.65 (1.29-2.02),85,83.33,3.89 (3.51-4.27),4.33,2.77
T cells 18,477,0.353,98.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.18,69.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666,0.203,74.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27),6.27,5.83
GABA neurons expressing GLU receptors 22,567,0.207,56.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685,0.179,71.0,135,14,10.37,1.25 (1.03-1.48),121,89.63,3.46 (3.15-3.77),3.66,3.76
da like neurons 11,137,0.216,32.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,288,0.124,21.0,93,5,5.38,1.55 (0.76-2.34),88,94.62,5.42 (4.95-5.89),2.19,4.05
endothelial cells 9,412,0.141,33.0,141,6,4.26,1.68 (0.99-2.38),135,95.74,3.02 (2.78-3.27),4.87,6.91
oligodendrocytes 20,403,0.126,51.0,18,8,44.44,0.72 (0.51-0.92),10,55.56,2.81 (1.96-3.65),5.44,2.47
GABA like neurons 14,2090,0.084,7.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,577,0.122,70.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,143,0.39,27.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.26,84.0,358,36,10.06,1.49 (1.23-1.76),322,89.94,4.23 (4.06-4.41),28.79,7.31
connective tissue cells 21,102,0.215,16.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57),1.35,1.43
astrocytes 15,1768,0.156,93.0,105,10,9.52,1.08 (0.78-1.39),95,90.48,3.46 (3.12-3.79),6.00,3.77
oligodendrocytes 16,65,0.102,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.098,20.0,138,7,5.07,1.17 (0.37-1.97),131,94.93,5.06 (4.71-5.40),3.39,2.70
astrocytes microglia 23,327,0.292,35.0,120,12,10.0,1.33 (0.81-1.85),108,90.0,3.93 (3.65-4.21),4.33,2.62
astrocytes 4,514,0.229,69.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,1186,0.15,60.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,480,0.339,92.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003,0.112,65.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.133,28.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
