tipo_celular,module_size,NRXN1_MM,NRXN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.329,83.0,15,7,46.67,6.14 (5.15-7.13),8,53.33,5.18 (4.64-5.73),2.43,2.25
T cells 18,282,0.151,31.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34),1.57,5.72
astrocytes 5,117,0.32,93.0,28,17,60.71,4.80 (4.16-5.44),11,39.29,6.39 (5.53-7.25),2.32,2.56
oligodendrocyte progenitor cells 7,436,0.273,98.0,219,94,42.92,6.08 (5.68-6.49),125,57.08,4.44 (4.12-4.76),6.05,3.53
GABA neurons expressing GLU receptors 22,459,0.391,97.0,165,51,30.91,5.00 (4.33-5.68),114,69.09,5.10 (4.73-5.48),3.96,4.15
GLU like neurons 17,795,0.232,83.0,80,18,22.5,5.30 (3.98-6.62),62,77.5,5.75 (5.33-6.18),3.39,2.90
da like neurons 11,102,0.442,93.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA,2.29,1.70
GABA neurons expressing GABA receptors 13,200,0.077,1.0,34,3,8.82,3.54 (3.28-3.81),31,91.18,3.92 (2.96-4.88),1.70,3.66
endothelial cells 9,450,0.303,69.0,74,38,51.35,6.32 (5.67-6.96),36,48.65,4.33 (3.61-5.05),4.31,2.92
oligodendrocytes 20,221,0.231,62.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.155,25.0,306,134,43.79,5.02 (4.61-5.44),172,56.21,5.17 (4.86-5.48),9.77,4.32
astrocytes 8,279,0.167,12.0,78,29,37.18,3.65 (3.00-4.30),49,62.82,4.79 (4.30-5.28),3.00,2.54
oligodendrocyte progenitor cells 12,411,0.575,100.0,103,45,43.69,6.23 (5.64-6.82),58,56.31,5.00 (4.55-5.46),3.63,2.66
oligodendrocytes 10,806,0.219,67.0,261,55,21.07,4.93 (4.34-5.51),206,78.93,4.19 (3.94-4.45),5.17,6.30
connective tissue cells 21,250,0.226,23.0,117,54,46.15,5.22 (4.58-5.85),63,53.85,5.55 (5.10-5.99),4.49,3.10
astrocytes 15,418,0.236,62.0,54,10,18.52,4.09 (2.99-5.19),44,81.48,3.59 (3.11-4.06),2.98,3.02
oligodendrocytes 16,149,0.533,96.0,70,22,31.43,6.40 (5.66-7.14),48,68.57,5.33 (4.76-5.90),2.88,3.51
da neurons 6,518,0.259,99.0,122,45,36.89,3.77 (2.97-4.58),77,63.11,4.15 (3.82-4.47),4.14,3.10
astrocytes microglia 23,122,0.493,93.0,46,9,19.57,5.80 (5.08-6.52),37,80.43,4.83 (4.16-5.50),2.13,3.47
astrocytes 4,220,0.4,100.0,63,36,57.14,4.94 (4.23-5.66),27,42.86,5.47 (4.57-6.37),3.55,2.95
oligodendrocytes 0,309,0.215,89.0,30,6,20.0,5.70 (5.32-6.08),24,80.0,6.15 (5.46-6.84),2.29,3.02
microglia 1,127,0.201,57.0,24,10,41.67,5.53 (4.33-6.73),14,58.33,4.76 (4.11-5.41),2.52,2.44
oligodendrocytes 3,639,0.175,89.0,15,6,40.0,1.99 (-0.33-4.30),9,60.0,4.45 (3.30-5.60),2.65,1.93
oligodendrocytes 2,347,0.482,100.0,15,3,20.0,6.09 (NA-NA),12,80.0,4.62 (3.89-5.35),2.21,2.41
