tipo_celular,module_size,ASH1L_MM,ASH1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.13,24.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,388,0.139,44.0,84,8,9.52,2.35 (2.23-2.47),76,90.48,3.03 (2.68-3.39),2.16,4.55
astrocytes 5,118,0.218,50.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448,0.075,7.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,192,0.103,28.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,1247,0.179,76.0,51,2,3.92,4.07 (NA-NA),49,96.08,3.61 (3.02-4.21),1.59,3.30
da like neurons 11,142,0.297,70.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,238,0.153,44.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.237,97.0,297,9,3.03,3.30 (1.79-4.81),288,96.97,3.68 (3.47-3.88),3.95,5.57
oligodendrocytes 20,676,0.556,84.0,110,5,4.55,2.33 (0.61-4.06),105,95.45,5.17 (4.74-5.61),4.48,3.48
GABA like neurons 14,1300,0.335,95.0,306,15,4.9,2.58 (1.51-3.65),291,95.1,5.22 (4.96-5.48),5.89,6.75
astrocytes 8,279,0.205,22.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,153,0.343,29.0,27,2,7.41,2.61 (-0.64-5.85),25,92.59,5.15 (4.23-6.06),3.39,2.05
oligodendrocytes 10,130,0.311,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147,0.146,9.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,268,0.205,76.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,153,0.4,65.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.156,52.0,138,12,8.7,2.58 (1.64-3.51),126,91.3,5.08 (4.71-5.45),2.94,2.71
astrocytes microglia 23,39,0.184,6.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,171,0.101,6.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,261,0.205,64.0,42,5,11.9,1.63 (0.33-2.92),37,88.1,4.51 (3.85-5.17),2.21,2.28
microglia 1,315,0.104,15.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,116,0.224,14.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,407,0.23,95.0,122,41,33.61,1.77 (1.47-2.07),81,66.39,4.23 (3.78-4.67),3.21,2.44
