tipo_celular,module_size,CASC4_MM,CASC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.146,19.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727,0.197,86.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,156,0.108,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448,0.048,2.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.203,77.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.184,77.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204,0.259,77.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,80,0.158,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450,0.15,29.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,322,0.036,7.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.308,90.0,306,1,0.33,3.31 (NA-NA),305,99.67,5.10 (4.84-5.36),1.38,6.72
astrocytes 8,1266,0.139,84.0,66,5,7.58,0.56 (0.36-0.76),61,92.42,3.48 (3.09-3.88),3.92,2.87
oligodendrocyte progenitor cells 12,143,0.452,67.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.11,34.0,358,7,1.96,0.91 (0.11-1.71),351,98.04,3.94 (3.75-4.13),46.62,8.73
connective tissue cells 21,111,0.252,34.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,1401,0.117,75.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,112,0.12,8.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,448,0.135,78.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,141,0.238,46.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,201,0.145,28.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,1186,0.166,84.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.122,67.0,161,7,4.35,0.91 (0.11-1.71),154,95.65,3.40 (3.14-3.67),19.01,4.81
oligodendrocytes 3,357,0.156,83.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407,0.206,87.0,122,5,4.1,0.42 (0.32-0.52),117,95.9,3.49 (3.11-3.87),4.72,2.61
