tipo_celular,module_size,IMMT_MM,IMMT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.184,71.0,71,3,4.23,1.39 (0.20-2.59),68,95.77,2.69 (2.26-3.11),1.84,3.65
T cells 18,282,0.19,59.0,241,8,3.32,3.81 (2.96-4.65),233,96.68,4.07 (3.81-4.33),4.60,4.33
astrocytes 5,1656,0.111,42.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,4285,0.164,89.0,353,21,5.95,1.43 (1.02-1.84),332,94.05,4.09 (3.92-4.27),26.64,6.89
GABA neurons expressing GLU receptors 22,848,0.215,52.0,262,9,3.44,1.99 (1.04-2.93),253,96.56,4.27 (4.02-4.51),5.49,4.05
GLU like neurons 17,1316,0.179,88.0,101,2,1.98,3.93 (0.38-7.49),99,98.02,3.03 (2.68-3.38),2.45,3.07
da like neurons 11,1220,0.13,29.0,410,21,5.12,3.12 (2.48-3.77),389,94.88,4.33 (4.14-4.53),13.43,7.20
GABA neurons expressing GABA receptors 13,357,0.207,68.0,237,1,0.42,3.24 (NA-NA),236,99.58,4.41 (4.18-4.65),5.21,4.18
endothelial cells 9,338,0.097,30.0,191,2,1.05,2.42 (2.05-2.79),189,98.95,3.90 (3.68-4.13),3.23,9.22
oligodendrocytes 20,403,0.07,31.0,18,7,38.89,0.97 (0.22-1.72),11,61.11,2.45 (1.59-3.31),6.07,2.34
GABA like neurons 14,2402,0.179,34.0,455,25,5.49,2.00 (1.48-2.53),430,94.51,4.53 (4.35-4.72),27.05,7.78
astrocytes 8,520,0.146,59.0,288,15,5.21,2.60 (1.92-3.29),273,94.79,4.29 (4.09-4.49),4.61,4.69
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,8,2.9,1.65 (1.07-2.24),268,97.1,3.62 (3.40-3.84),7.99,5.02
oligodendrocytes 10,806,0.191,61.0,261,11,4.21,2.27 (1.95-2.59),250,95.79,4.49 (4.25-4.73),6.53,6.04
connective tissue cells 21,112,0.22,39.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,1768,0.076,40.0,105,11,10.48,1.50 (1.02-1.98),94,89.52,3.43 (3.08-3.78),5.43,3.81
oligodendrocytes 16,313,0.168,28.0,291,11,3.78,3.31 (2.46-4.16),280,96.22,4.38 (4.15-4.61),4.05,3.81
da neurons 6,300,0.235,73.0,159,1,0.63,3.24 (NA-NA),158,99.37,4.37 (4.06-4.68),1.78,3.74
astrocytes microglia 23,100,0.328,66.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,1807,0.161,80.0,104,9,8.65,1.43 (0.74-2.13),95,91.35,3.01 (2.72-3.29),10.21,4.94
oligodendrocytes 0,2078,0.128,79.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,813,0.101,29.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54),3.89,8.01
oligodendrocytes 3,457,0.081,29.0,345,8,2.32,2.68 (1.91-3.45),337,97.68,4.33 (4.12-4.54),4.77,5.71
oligodendrocytes 2,921,0.124,28.0,200,2,1.0,2.48 (1.03-3.93),198,99.0,3.64 (3.37-3.90),8.12,3.42
