tipo_celular,module_size,SHTN1_MM,SHTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.296,66.0,140,39,27.86,4.20 (3.70-4.69),101,72.14,4.71 (4.37-5.05),4.20,3.29
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.454,91.0,51,3,5.88,6.45 (4.60-8.31),48,94.12,5.25 (4.55-5.96),1.85,3.02
oligodendrocyte progenitor cells 7,229.0,0.528,98.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,567.0,0.51,97.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41),1.80,4.25
GLU like neurons 17,637.0,0.204,64.0,91,25,27.47,2.85 (2.06-3.65),66,72.53,5.31 (4.76-5.85),3.30,2.97
da like neurons 11,408.0,0.285,72.0,25,12,48.0,2.92 (1.32-4.53),13,52.0,6.68 (5.48-7.88),2.24,2.31
GABA neurons expressing GABA receptors 13,288.0,0.208,64.0,93,50,53.76,5.24 (4.56-5.92),43,46.24,5.01 (4.30-5.72),5.07,2.64
endothelial cells 9,450.0,0.657,96.0,74,30,40.54,6.06 (5.30-6.82),44,59.46,4.98 (4.23-5.73),4.81,2.83
oligodendrocytes 20,676.0,0.309,56.0,110,63,57.27,4.93 (4.36-5.50),47,42.73,5.09 (4.37-5.82),4.17,2.66
GABA like neurons 14,1300.0,0.087,7.0,306,93,30.39,5.03 (4.50-5.56),213,69.61,5.13 (4.83-5.42),10.34,5.12
astrocytes 8,771.0,0.768,99.0,48,13,27.08,6.44 (5.15-7.73),35,72.92,3.64 (2.90-4.38),2.83,3.26
oligodendrocyte progenitor cells 12,708.0,0.582,99.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204.0,0.48,67.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250.0,0.672,92.0,117,38,32.48,4.93 (4.26-5.60),79,67.52,5.64 (5.15-6.12),4.76,3.25
astrocytes 15,458.0,0.463,97.0,36,9,25.0,8.14 (7.87-8.41),27,75.0,2.61 (1.87-3.36),1.69,2.87
oligodendrocytes 16,287.0,0.094,2.0,105,74,70.48,5.02 (4.47-5.58),31,29.52,5.25 (4.62-5.87),3.73,2.85
da neurons 6,398.0,0.26,81.0,138,39,28.26,3.86 (3.26-4.45),99,71.74,5.27 (4.84-5.70),2.94,2.65
astrocytes microglia 23,229.0,0.232,28.0,99,19,19.19,4.12 (3.66-4.59),80,80.81,4.35 (3.94-4.75),3.76,3.11
astrocytes 4,102.0,0.41,88.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49),3.27,3.16
oligodendrocytes 0,479.0,0.17,63.0,40,21,52.5,6.27 (5.40-7.13),19,47.5,5.46 (4.95-5.97),3.41,3.53
microglia 1,315.0,0.245,79.0,144,33,22.92,4.64 (4.07-5.21),111,77.08,4.40 (4.04-4.76),3.18,4.51
oligodendrocytes 3,1003.0,0.154,86.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348.0,0.342,89.0,114,63,55.26,5.50 (5.03-5.97),51,44.74,4.46 (3.74-5.18),5.74,2.73
