tipo_celular,module_size,MT-CO1_MM,MT-CO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.309,91.0,73,5,6.85,4.91 (NA-NA),68,93.15,3.54 (3.19-3.89),2.06,3.31
T cells 18,282,0.12,29.0,241,11,4.56,3.56 (2.90-4.22),230,95.44,4.09 (3.83-4.35),4.13,4.35
astrocytes 5,228,0.272,83.0,266,56,21.05,3.09 (2.67-3.52),210,78.95,4.48 (4.27-4.69),5.86,4.74
oligodendrocyte progenitor cells 7,296,0.262,82.0,251,13,5.18,3.48 (2.59-4.37),238,94.82,4.10 (3.85-4.35),4.03,6.27
GABA neurons expressing GLU receptors 22,192,0.771,97.0,55,26,47.27,4.18 (3.57-4.79),29,52.73,3.89 (3.31-4.48),4.15,2.59
GLU like neurons 17,637,0.117,31.0,91,9,9.89,0.65 (0.26-1.05),82,90.11,5.06 (4.62-5.51),3.31,3.03
da like neurons 11,1220,0.363,90.0,410,45,10.98,3.33 (2.84-3.81),365,89.02,4.39 (4.19-4.59),16.09,6.46
GABA neurons expressing GABA receptors 13,238,0.529,100.0,36,3,8.33,7.70 (NA-NA),33,91.67,3.75 (3.27-4.23),1.79,18.62
endothelial cells 9,338,0.339,91.0,191,19,9.95,3.73 (3.19-4.27),172,90.05,3.90 (3.66-4.15),2.89,9.85
oligodendrocytes 20,676,0.1,34.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2402,0.026,1.0,455,39,8.57,2.83 (2.25-3.41),416,91.43,4.52 (4.34-4.71),24.31,7.38
astrocytes 8,47,0.678,83.0,76,16,21.05,4.17 (2.96-5.37),60,78.95,4.00 (3.71-4.28),4.80,4.56
oligodendrocyte progenitor cells 12,3303,0.096,70.0,276,11,3.99,1.67 (1.29-2.06),265,96.01,3.64 (3.42-3.86),11.56,4.84
oligodendrocytes 10,806,0.539,97.0,261,32,12.26,3.47 (2.99-3.95),229,87.74,4.53 (4.26-4.79),5.59,6.13
connective tissue cells 21,101,0.259,27.0,116,37,31.9,3.50 (2.98-4.02),79,68.1,5.45 (4.95-5.94),3.58,3.05
astrocytes 15,418,0.555,95.0,54,29,53.7,3.75 (3.27-4.23),25,46.3,3.60 (2.80-4.40),3.02,3.01
oligodendrocytes 16,149,0.129,15.0,70,4,5.71,6.87 (5.85-7.89),66,94.29,5.57 (5.08-6.07),2.20,3.38
da neurons 6,553,0.453,100.0,124,3,2.42,1.26 (-0.42-2.94),121,97.58,4.25 (3.86-4.64),2.42,3.05
astrocytes microglia 23,46,0.696,85.0,73,37,50.68,3.79 (3.26-4.33),36,49.32,4.33 (4.00-4.65),6.79,3.72
astrocytes 4,157,0.547,99.0,178,47,26.4,3.20 (2.68-3.72),131,73.6,4.60 (4.33-4.87),6.18,3.89
oligodendrocytes 0,116,0.561,96.0,169,17,10.06,4.03 (2.97-5.09),152,89.94,4.30 (4.00-4.61),3.70,6.80
microglia 1,214,0.315,83.0,227,40,17.62,3.73 (3.25-4.21),187,82.38,4.19 (3.92-4.45),8.61,5.59
oligodendrocytes 3,32,0.697,75.0,81,39,48.15,3.77 (3.25-4.29),42,51.85,4.28 (3.96-4.60),9.56,6.28
oligodendrocytes 2,99,0.54,96.0,116,13,11.21,4.34 (3.17-5.50),103,88.79,3.90 (3.60-4.20),3.35,7.73
