tipo_celular,module_size,PSMD1_MM,PSMD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.285,93.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,610,0.142,41.0,98,34,34.69,2.18 (1.69-2.67),64,65.31,3.63 (3.29-3.97),6.74,2.60
astrocytes 5,1141,0.112,24.0,166,24,14.46,2.45 (1.91-2.98),142,85.54,3.59 (3.32-3.86),8.57,3.87
oligodendrocyte progenitor cells 7,4285,0.184,99.0,353,37,10.48,2.14 (1.70-2.58),316,89.52,4.16 (3.97-4.34),29.48,5.56
GABA neurons expressing GLU receptors 22,848,0.192,43.0,262,32,12.21,3.10 (2.59-3.60),230,87.79,4.32 (4.05-4.58),6.63,3.75
GLU like neurons 17,685,0.181,72.0,135,15,11.11,1.89 (1.34-2.43),120,88.89,3.37 (3.05-3.70),4.58,3.65
da like neurons 11,59,0.427,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.135,35.0,237,6,2.53,5.17 (1.58-8.76),231,97.47,4.40 (4.17-4.63),4.38,4.18
endothelial cells 9,1653,0.104,29.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279,0.17,35.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.121,15.0,455,54,11.87,2.69 (2.22-3.15),401,88.13,4.59 (4.40-4.77),16.31,7.83
astrocytes 8,218,0.063,36.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708,0.088,36.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,735,0.123,65.0,277,8,2.89,4.03 (3.69-4.37),269,97.11,3.89 (3.65-4.14),4.79,9.07
connective tissue cells 21,84,0.236,26.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,367,0.116,32.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,85,0.137,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.138,58.0,235,24,10.21,3.15 (2.30-4.00),211,89.79,4.05 (3.79-4.31),7.28,4.09
astrocytes microglia 23,190,0.265,51.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.149,43.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67),2.74,4.35
oligodendrocytes 0,2078,0.125,72.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),6.40,5.00
microglia 1,813,0.117,52.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53),3.23,8.09
oligodendrocytes 3,681,0.082,38.0,87,23,26.44,1.89 (1.45-2.33),64,73.56,2.84 (2.53-3.16),6.71,3.36
oligodendrocytes 2,921,0.115,17.0,200,3,1.5,2.57 (1.64-3.50),197,98.5,3.64 (3.37-3.91),4.61,3.45
