tipo_celular,module_size,ARF1_MM,ARF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.242,85.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47),3.40,4.94
T cells 18,506,0.174,46.0,225,24,10.67,3.05 (2.30-3.81),201,89.33,3.68 (3.41-3.94),15.75,6.97
astrocytes 5,228,0.149,36.0,266,57,21.43,2.88 (2.53-3.24),209,78.57,4.49 (4.27-4.71),6.50,4.56
oligodendrocyte progenitor cells 7,628,0.176,57.0,164,5,3.05,3.45 (2.38-4.52),159,96.95,4.11 (3.77-4.45),4.98,7.61
GABA neurons expressing GLU receptors 22,848,0.37,88.0,262,43,16.41,3.60 (3.06-4.14),219,83.59,4.27 (4.00-4.54),7.12,3.51
GLU like neurons 17,1316,0.057,4.0,101,2,1.98,3.36 (1.73-4.98),99,98.02,3.04 (2.69-3.40),2.72,3.06
da like neurons 11,1220,0.192,54.0,410,34,8.29,3.08 (2.63-3.53),376,91.71,4.35 (4.15-4.54),13.85,6.94
GABA neurons expressing GABA receptors 13,417,0.089,4.0,213,25,11.74,1.90 (1.20-2.61),188,88.26,4.00 (3.76-4.23),9.92,9.65
endothelial cells 9,916,0.205,50.0,302,11,3.64,2.59 (1.60-3.58),291,96.36,4.04 (3.81-4.27),10.31,10.67
oligodendrocytes 20,279,0.096,11.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,2402,0.505,89.0,455,43,9.45,2.54 (2.04-3.05),412,90.55,4.53 (4.34-4.72),21.41,7.52
astrocytes 8,520,0.195,69.0,288,42,14.58,3.19 (2.78-3.60),246,85.42,4.33 (4.12-4.55),9.59,3.85
oligodendrocyte progenitor cells 12,1049,0.058,23.0,235,10,4.26,3.42 (2.54-4.30),225,95.74,3.84 (3.60-4.08),11.09,7.46
oligodendrocytes 10,735,0.261,96.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,301,0.256,17.0,158,7,4.43,1.76 (1.00-2.52),151,95.57,4.43 (4.06-4.79),6.98,7.07
astrocytes 15,1401,0.033,5.0,96,14,14.58,4.27 (3.55-5.00),82,85.42,3.49 (2.98-4.00),4.50,3.68
oligodendrocytes 16,74,0.21,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.137,64.0,95,8,8.42,4.69 (4.09-5.29),87,91.58,4.87 (4.38-5.35),4.43,3.27
astrocytes microglia 23,107,0.267,18.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,1807,0.15,60.0,104,14,13.46,2.09 (1.42-2.77),90,86.54,2.99 (2.69-3.29),8.36,4.94
oligodendrocytes 0,546,0.125,24.0,252,30,11.9,2.16 (1.56-2.75),222,88.1,4.37 (4.13-4.62),18.25,6.85
microglia 1,214,0.125,22.0,227,16,7.05,3.56 (3.03-4.09),211,92.95,4.13 (3.88-4.38),10.82,5.76
oligodendrocytes 3,457,0.117,52.0,345,45,13.04,3.29 (3.01-3.56),300,86.96,4.44 (4.21-4.67),10.05,5.04
oligodendrocytes 2,528,0.221,60.0,175,25,14.29,3.31 (2.79-3.83),150,85.71,4.53 (4.14-4.91),8.67,3.94
