tipo_celular,module_size,ZBTB20_MM,ZBTB20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.264,86.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388,0.406,98.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,222,0.191,44.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11),2.81,2.65
oligodendrocyte progenitor cells 7,436,0.061,8.0,219,2,0.91,4.04 (0.89-7.18),217,99.09,5.23 (4.94-5.52),4.96,4.61
GABA neurons expressing GLU receptors 22,567,0.301,81.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.57,98.0,91,8,8.79,0.73 (0.19-1.26),83,91.21,5.05 (4.60-5.50),3.46,3.02
da like neurons 11,408,0.363,81.0,25,5,20.0,1.18 (0.28-2.09),20,80.0,5.76 (4.49-7.03),2.04,2.34
GABA neurons expressing GABA receptors 13,288,0.537,98.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,586,0.309,68.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,676,0.315,57.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66),3.66,3.52
GABA like neurons 14,1300,0.116,12.0,306,7,2.29,1.43 (0.73-2.13),299,97.71,5.22 (4.97-5.47),4.92,6.75
astrocytes 8,354,0.436,100.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411,0.158,54.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97),4.24,3.07
oligodendrocytes 10,204,0.296,20.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,92,0.202,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.125,29.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,88,0.089,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.567,99.0,138,15,10.87,2.14 (1.36-2.93),123,89.13,5.19 (4.84-5.54),2.37,2.78
astrocytes microglia 23,166,0.44,91.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255,0.261,89.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,479,0.138,38.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,315,0.152,40.0,144,4,2.78,2.65 (1.80-3.51),140,97.22,4.52 (4.21-4.83),3.14,4.24
oligodendrocytes 3,1003,0.202,96.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,237,0.169,26.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
