tipo_celular,module_size,AGAP1_MM,AGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.347,85.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.55,95.0,68,2,2.94,5.16 (5.16-5.16),66,97.06,4.34 (3.76-4.91),2.15,3.35
astrocytes 5,165,0.198,57.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,436,0.248,94.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,567,0.219,62.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,795,0.352,97.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,59,0.4,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.405,93.0,93,5,5.38,4.21 (3.26-5.15),88,94.62,5.22 (4.69-5.74),3.60,3.97
endothelial cells 9,450,0.326,71.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.296,54.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300,0.354,97.0,306,7,2.29,4.02 (3.04-5.00),299,97.71,5.13 (4.86-5.40),7.64,6.68
astrocytes 8,771,0.471,91.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,411,0.283,70.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,204,0.539,84.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.327,57.0,117,4,3.42,4.14 (2.93-5.35),113,96.58,5.43 (5.02-5.84),2.69,3.78
astrocytes 15,458,0.28,91.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,91,0.08,0.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,398,0.394,93.0,138,6,4.35,4.01 (2.56-5.46),132,95.65,4.87 (4.49-5.25),4.10,2.67
astrocytes microglia 23,54,0.261,23.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102,0.145,22.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,1186,0.109,9.0,300,2,0.67,4.01 (3.12-4.91),298,99.33,3.79 (3.58-4.00),3.50,4.16
microglia 1,127,0.395,84.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,187,0.216,89.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,348,0.244,67.0,114,3,2.63,4.63 (3.58-5.68),111,97.37,5.13 (4.71-5.56),2.04,4.46
