tipo_celular,module_size,SPTLC2_MM,SPTLC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.154,17.0,21,6,28.57,0.64 (0.20-1.08),15,71.43,3.01 (2.47-3.55),2.56,1.78
T cells 18,610,0.086,8.0,98,20,20.41,2.21 (1.30-3.13),78,79.59,3.38 (3.10-3.67),5.96,3.54
astrocytes 5,165,0.148,37.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01),1.58,2.98
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,28,7.93,2.56 (1.75-3.37),325,92.07,4.04 (3.86-4.21),26.58,6.47
GABA neurons expressing GLU receptors 22,487,0.182,35.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,637,0.133,39.0,91,9,9.89,1.00 (0.29-1.72),82,90.11,5.08 (4.63-5.54),3.26,3.04
da like neurons 11,408,0.151,44.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82),2.15,2.30
GABA neurons expressing GABA receptors 13,288,0.079,3.0,93,5,5.38,1.69 (0.72-2.67),88,94.62,5.41 (4.94-5.88),2.94,4.01
endothelial cells 9,450,0.126,22.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,358,0.146,47.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58),1.79,4.13
GABA like neurons 14,2402,0.125,17.0,455,25,5.49,2.73 (1.84-3.61),430,94.51,4.47 (4.29-4.65),22.57,8.04
astrocytes 8,771,0.241,73.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.151,66.0,25,5,20.0,5.01 (2.54-7.47),20,80.0,2.20 (1.38-3.02),2.17,2.63
oligodendrocytes 10,2107,0.287,88.0,358,31,8.66,2.36 (1.61-3.11),327,91.34,4.05 (3.87-4.23),22.11,8.27
connective tissue cells 21,106,0.286,43.0,9,2,22.22,3.37 (-2.73-9.48),7,77.78,4.02 (1.01-7.03),1.82,2.41
astrocytes 15,458,0.056,22.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,65,0.139,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.134,43.0,138,10,7.25,2.21 (1.21-3.22),128,92.75,5.07 (4.71-5.43),2.50,2.75
astrocytes microglia 23,229,0.15,3.0,99,2,2.02,2.88 (2.28-3.48),97,97.98,4.33 (3.99-4.67),4.69,3.21
astrocytes 4,1807,0.137,36.0,104,17,16.35,2.51 (1.76-3.26),87,83.65,2.94 (2.64-3.24),10.48,4.41
oligodendrocytes 0,309,0.129,43.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813,0.162,83.0,79,7,8.86,3.26 (2.60-3.91),72,91.14,3.08 (2.64-3.53),3.59,8.32
oligodendrocytes 3,639,0.087,43.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47),2.69,1.90
oligodendrocytes 2,528,0.081,1.0,175,9,5.14,3.00 (2.24-3.75),166,94.86,4.48 (4.12-4.85),6.82,4.50
