tipo_celular,module_size,FRMD4A_MM,FRMD4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.359,79.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,610,0.22,89.0,98,7,7.14,2.12 (0.93-3.31),91,92.86,3.20 (2.88-3.53),5.63,3.91
astrocytes 5,222,0.305,83.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08),1.55,2.67
oligodendrocyte progenitor cells 7,436,0.151,64.0,219,2,0.91,4.88 (3.43-6.33),217,99.09,5.22 (4.93-5.51),2.20,4.63
GABA neurons expressing GLU receptors 22,1069,0.179,60.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.168,66.0,42,1,2.38,4.26 (NA-NA),41,97.62,6.05 (5.49-6.62),3.31,3.21
da like neurons 11,82,0.474,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.207,64.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,303,0.342,84.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,233,0.18,44.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.368,99.0,306,13,4.25,2.69 (1.72-3.66),293,95.75,5.25 (5.00-5.51),5.89,6.74
astrocytes 8,279,0.291,58.0,78,3,3.85,3.58 (0.33-6.83),75,96.15,4.35 (3.94-4.76),2.32,2.72
oligodendrocyte progenitor cells 12,708,0.481,97.0,32,7,21.88,3.50 (2.16-4.84),25,78.12,3.16 (2.17-4.16),3.22,2.42
oligodendrocytes 10,2107,0.386,97.0,358,15,4.19,2.22 (1.48-2.97),343,95.81,3.96 (3.76-4.15),11.71,9.37
connective tissue cells 21,100,0.285,58.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,418,0.744,100.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,108,0.306,87.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,398,0.25,80.0,138,9,6.52,2.27 (1.10-3.45),129,93.48,5.04 (4.68-5.40),3.23,2.70
astrocytes microglia 23,229,0.539,99.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,251,0.265,92.0,34,1,2.94,4.70 (NA-NA),33,97.06,5.27 (4.63-5.91),3.27,3.07
oligodendrocytes 0,309,0.119,32.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315,0.445,100.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,1003,0.14,81.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348,0.168,37.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
