tipo_celular,module_size,ATP6V1B2_MM,ATP6V1B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.177,53.0,140,6,4.29,2.83 (1.30-4.35),134,95.71,4.59 (4.16-5.02),2.14,3.64
T cells 18,282,0.369,92.0,241,30,12.45,4.50 (3.91-5.08),211,87.55,3.99 (3.71-4.26),4.76,4.28
astrocytes 5,228,0.439,96.0,266,82,30.83,3.61 (3.25-3.98),184,69.17,4.39 (4.14-4.63),6.33,4.38
oligodendrocyte progenitor cells 7,296,0.431,97.0,251,20,7.97,3.67 (3.06-4.27),231,92.03,4.10 (3.85-4.35),3.46,6.39
GABA neurons expressing GLU receptors 22,848,0.484,98.0,262,24,9.16,3.65 (2.76-4.55),238,90.84,4.22 (3.96-4.47),7.07,3.80
GLU like neurons 17,1316,0.207,94.0,101,9,8.91,5.62 (4.92-6.31),92,91.09,2.88 (2.54-3.22),3.07,3.05
da like neurons 11,1220,0.56,99.0,410,58,14.15,3.85 (3.39-4.31),352,85.85,4.32 (4.12-4.52),9.97,7.11
GABA neurons expressing GABA receptors 13,357,0.176,58.0,237,35,14.77,4.82 (4.39-5.26),202,85.23,4.33 (4.07-4.59),3.43,4.31
endothelial cells 9,338,0.472,97.0,191,46,24.08,4.32 (3.90-4.74),145,75.92,3.74 (3.48-4.00),5.10,10.44
oligodendrocytes 20,322,0.073,24.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.55,92.0,455,49,10.77,3.43 (2.75-4.10),406,89.23,4.46 (4.27-4.65),16.73,7.88
astrocytes 8,520,0.538,99.0,288,56,19.44,4.01 (3.54-4.48),232,80.56,4.21 (3.99-4.43),7.29,4.06
oligodendrocyte progenitor cells 12,3303,0.117,88.0,276,17,6.16,2.31 (1.51-3.10),259,93.84,3.64 (3.42-3.86),9.14,4.85
oligodendrocytes 10,806,0.575,98.0,261,46,17.62,4.03 (3.60-4.45),215,82.38,4.44 (4.16-4.72),6.36,6.00
connective tissue cells 21,101,0.407,74.0,116,28,24.14,3.16 (2.62-3.70),88,75.86,5.08 (4.62-5.55),2.92,3.31
astrocytes 15,261,0.28,93.0,8,5,62.5,3.63 (0.71-6.56),3,37.5,3.79 (2.86-4.72),1.77,1.93
oligodendrocytes 16,313,0.574,98.0,291,68,23.37,3.95 (3.61-4.28),223,76.63,4.47 (4.19-4.75),5.52,3.30
da neurons 6,300,0.334,92.0,159,8,5.03,4.61 (3.76-5.45),151,94.97,4.35 (4.03-4.67),3.81,3.73
astrocytes microglia 23,70,0.382,72.0,76,5,6.58,5.16 (NA-NA),71,93.42,4.18 (3.65-4.70),2.05,4.71
astrocytes 4,157,0.331,84.0,178,54,30.34,3.66 (3.11-4.20),124,69.66,4.39 (4.10-4.68),5.39,4.11
oligodendrocytes 0,116,0.247,75.0,169,25,14.79,4.16 (3.40-4.92),144,85.21,4.30 (3.97-4.62),3.86,6.94
microglia 1,214,0.272,77.0,227,47,20.7,3.96 (3.55-4.36),180,79.3,4.13 (3.85-4.41),6.87,5.92
oligodendrocytes 3,457,0.407,97.0,345,56,16.23,4.21 (3.82-4.61),289,83.77,4.29 (4.05-4.53),10.14,4.83
oligodendrocytes 2,99,0.399,79.0,116,10,8.62,3.48 (2.70-4.26),106,91.38,4.01 (3.69-4.33),3.05,7.63
