tipo_celular,module_size,STT3B_MM,STT3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.257,88.0,47,1,2.13,3.43 (NA-NA),46,97.87,2.57 (2.07-3.07),2.11,4.20
T cells 18,624,0.178,71.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.166,89.0,166,15,9.04,2.18 (1.51-2.84),151,90.96,3.54 (3.28-3.80),6.02,4.40
oligodendrocyte progenitor cells 7,4285,0.151,75.0,353,29,8.22,1.79 (1.36-2.22),324,91.78,4.14 (3.96-4.32),28.83,6.21
GABA neurons expressing GLU receptors 22,567,0.193,50.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316,0.188,90.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,289,0.271,82.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,73,0.111,12.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,1653,0.1,27.0,297,2,0.67,2.98 (2.09-3.86),295,99.33,3.68 (3.47-3.88),11.50,5.48
oligodendrocytes 20,403,0.028,4.0,18,10,55.56,1.15 (0.49-1.80),8,44.44,2.79 (1.79-3.79),4.59,2.79
GABA like neurons 14,3052,0.233,98.0,125,2,1.6,3.09 (2.91-3.26),123,98.4,3.36 (3.03-3.69),8.40,8.62
astrocytes 8,354,0.173,77.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.143,97.0,276,20,7.25,2.21 (1.73-2.69),256,92.75,3.68 (3.45-3.91),13.05,4.49
oligodendrocytes 10,2107,0.248,82.0,358,26,7.26,1.70 (1.24-2.17),332,92.74,4.09 (3.91-4.28),29.22,7.93
connective tissue cells 21,152,0.263,53.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1768,0.17,96.0,105,23,21.9,2.26 (1.76-2.75),82,78.1,3.51 (3.12-3.90),5.35,3.59
oligodendrocytes 16,156,0.181,37.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,518,0.143,79.0,122,22,18.03,2.44 (1.78-3.11),100,81.97,4.47 (4.05-4.88),5.43,3.06
astrocytes microglia 23,46,0.242,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.132,40.0,127,5,3.94,3.59 (0.93-6.24),122,96.06,3.02 (2.60-3.43),3.44,6.39
microglia 1,813,0.205,94.0,79,8,10.13,3.67 (2.68-4.67),71,89.87,3.03 (2.59-3.46),3.36,8.41
oligodendrocytes 3,681,0.096,51.0,87,15,17.24,1.57 (1.05-2.10),72,82.76,2.82 (2.53-3.10),4.65,4.16
oligodendrocytes 2,921,0.142,59.0,200,5,2.5,2.09 (1.48-2.70),195,97.5,3.67 (3.40-3.94),5.47,3.41
