tipo_celular,module_size,APP_MM,APP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.187,58.0,140,63,45.0,4.85 (4.34-5.37),77,55.0,4.22 (3.59-4.85),3.16,3.91
T cells 18,349,0.311,80.0,68,32,47.06,4.55 (3.64-5.45),36,52.94,4.16 (3.58-4.75),2.69,3.87
astrocytes 5,118,0.16,8.0,8,3,37.5,5.47 (4.97-5.97),5,62.5,3.40 (0.73-6.07),1.47,2.33
oligodendrocyte progenitor cells 7,296,0.094,4.0,251,32,12.75,4.20 (3.89-4.51),219,87.25,4.04 (3.77-4.32),5.63,6.23
GABA neurons expressing GLU receptors 22,567,0.151,32.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64),1.53,4.12
GLU like neurons 17,637,0.13,37.0,91,28,30.77,2.70 (2.02-3.38),63,69.23,5.70 (5.23-6.17),3.21,2.99
da like neurons 11,191,0.25,46.0,93,62,66.67,5.60 (5.07-6.12),31,33.33,5.75 (5.13-6.38),4.75,2.92
GABA neurons expressing GABA receptors 13,357,0.389,97.0,237,24,10.13,4.67 (4.04-5.29),213,89.87,4.38 (4.13-4.63),3.82,4.23
endothelial cells 9,658,0.212,55.0,120,49,40.83,4.06 (3.61-4.50),71,59.17,5.07 (4.66-5.48),4.23,3.25
oligodendrocytes 20,271,0.1,15.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.151,25.0,455,76,16.7,2.97 (2.61-3.33),379,83.3,4.68 (4.49-4.88),15.83,7.43
astrocytes 8,771,0.247,74.0,48,8,16.67,6.76 (4.72-8.79),40,83.33,3.92 (3.22-4.62),3.49,3.07
oligodendrocyte progenitor cells 12,1049,0.097,53.0,235,30,12.77,3.76 (3.47-4.06),205,87.23,3.83 (3.57-4.10),7.29,7.66
oligodendrocytes 10,806,0.405,90.0,261,61,23.37,4.40 (3.91-4.90),200,76.63,4.35 (4.07-4.63),5.13,6.35
connective tissue cells 21,250,0.165,8.0,117,53,45.3,5.01 (4.38-5.63),64,54.7,5.75 (5.28-6.21),4.42,3.17
astrocytes 15,268,0.234,81.0,10,2,20.0,2.33 (1.53-3.13),8,80.0,4.14 (1.98-6.31),1.67,1.57
oligodendrocytes 16,313,0.254,61.0,291,50,17.18,3.64 (3.30-3.98),241,82.82,4.48 (4.22-4.74),4.57,3.66
da neurons 6,300,0.274,82.0,159,2,1.26,3.95 (2.83-5.06),157,98.74,4.37 (4.06-4.68),3.55,3.73
astrocytes microglia 23,59,0.314,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.187,52.0,95,12,12.63,3.29 (1.92-4.67),83,87.37,3.38 (2.94-3.82),2.35,4.97
oligodendrocytes 0,187,0.158,44.0,14,2,14.29,5.34 (NA-NA),12,85.71,5.54 (4.88-6.21),1.74,2.61
microglia 1,480,0.216,62.0,163,39,23.93,4.25 (3.92-4.58),124,76.07,3.51 (3.18-3.85),3.52,5.69
oligodendrocytes 3,99,0.089,4.0,24,12,50.0,7.63 (6.86-8.39),12,50.0,5.70 (4.98-6.42),2.18,2.27
oligodendrocytes 2,528,0.152,20.0,175,34,19.43,3.53 (3.07-3.99),141,80.57,4.60 (4.19-5.02),8.21,3.75
