tipo_celular,module_size,SRSF5_MM,SRSF5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.172,22.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,518,0.213,81.0,131,6,4.58,3.48 (2.87-4.09),125,95.42,3.05 (2.76-3.34),4.18,4.78
astrocytes 5,328,0.174,54.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.171,54.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,823,0.22,76.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24),2.43,3.57
GLU like neurons 17,685,0.147,59.0,135,14,10.37,1.49 (1.09-1.89),121,89.63,3.43 (3.11-3.74),5.10,3.59
da like neurons 11,408,0.103,23.0,25,5,20.0,1.73 (0.88-2.57),20,80.0,5.58 (4.15-7.00),2.24,2.29
GABA neurons expressing GABA receptors 13,67,0.197,66.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,1653,0.091,21.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330,0.133,31.0,36,10,27.78,1.91 (1.50-2.32),26,72.22,1.93 (1.47-2.38),3.08,3.15
GABA like neurons 14,2402,0.23,50.0,455,36,7.91,2.26 (1.83-2.68),419,92.09,4.60 (4.42-4.78),18.49,8.00
astrocytes 8,603,0.128,76.0,89,12,13.48,2.05 (1.32-2.78),77,86.52,2.92 (2.53-3.31),4.34,6.31
oligodendrocyte progenitor cells 12,708,0.093,39.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277,0.088,36.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126,0.193,5.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,1768,0.164,95.0,105,27,25.71,1.96 (1.58-2.33),78,74.29,3.65 (3.26-4.03),5.87,3.32
oligodendrocytes 16,71,0.159,30.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,398,0.083,11.0,138,8,5.8,2.17 (1.09-3.24),130,94.2,4.99 (4.63-5.36),2.99,2.72
astrocytes microglia 23,190,0.288,67.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,208,0.156,27.0,173,2,1.16,3.39 (3.07-3.71),171,98.84,3.80 (3.50-4.11),2.59,5.66
oligodendrocytes 0,613,0.17,73.0,127,15,11.81,2.57 (2.10-3.04),112,88.19,3.14 (2.66-3.63),4.29,6.54
microglia 1,1615,0.131,78.0,161,32,19.88,1.53 (1.19-1.88),129,80.12,3.78 (3.52-4.04),12.94,3.57
oligodendrocytes 3,743,0.128,89.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.105,4.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
