tipo_celular,module_size,MT-ND4L_MM,MT-ND4L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.328,94.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89),2.56,3.25
T cells 18,518,0.202,77.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,228,0.136,28.0,266,64,24.06,3.44 (3.10-3.78),202,75.94,4.42 (4.17-4.67),6.67,4.44
oligodendrocyte progenitor cells 7,296,0.13,18.0,251,31,12.35,3.71 (3.51-3.90),220,87.65,4.15 (3.86-4.44),6.99,6.04
GABA neurons expressing GLU receptors 22,192,0.373,92.0,55,43,78.18,3.94 (3.58-4.29),12,21.82,4.41 (2.73-6.10),3.78,1.70
GLU like neurons 17,637,0.104,22.0,91,8,8.79,0.47 (0.28-0.65),83,91.21,5.01 (4.56-5.46),3.50,3.02
da like neurons 11,1220,0.134,30.0,410,68,16.59,3.76 (3.52-4.01),342,83.41,4.38 (4.16-4.61),16.99,5.63
GABA neurons expressing GABA receptors 13,238,0.294,92.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.095,29.0,191,5,2.62,2.78 (2.32-3.25),186,97.38,3.92 (3.69-4.15),2.10,9.35
oligodendrocytes 20,275,0.138,25.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.122,14.0,306,4,1.31,1.67 (0.54-2.81),302,98.69,5.16 (4.90-5.42),2.37,6.76
astrocytes 8,47,0.339,68.0,76,21,27.63,3.80 (3.16-4.43),55,72.37,4.11 (3.76-4.45),5.57,4.24
oligodendrocyte progenitor cells 12,708,0.12,54.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,483,0.199,71.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,139,0.273,31.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.133,85.0,105,7,6.67,1.34 (0.77-1.91),98,93.33,3.36 (3.02-3.70),6.41,3.81
oligodendrocytes 16,88,0.113,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.203,85.0,124,5,4.03,2.37 (0.94-3.80),119,95.97,4.27 (3.87-4.67),2.46,3.06
astrocytes microglia 23,46,0.335,69.0,73,62,84.93,3.81 (3.55-4.08),11,15.07,6.53 (5.92-7.13),5.68,3.01
astrocytes 4,157,0.27,73.0,178,68,38.2,3.47 (3.14-3.80),110,61.8,4.77 (4.41-5.14),5.78,3.70
oligodendrocytes 0,116,0.266,77.0,169,10,5.92,3.03 (2.63-3.43),159,94.08,4.39 (4.07-4.70),3.78,6.66
microglia 1,214,0.138,30.0,227,64,28.19,3.80 (3.54-4.05),163,71.81,4.26 (3.92-4.60),9.22,4.90
oligodendrocytes 3,32,0.417,59.0,81,66,81.48,3.77 (3.52-4.03),15,18.52,5.91 (4.93-6.88),8.91,3.26
oligodendrocytes 2,99,0.294,65.0,116,9,7.76,2.97 (2.61-3.32),107,92.24,4.07 (3.75-4.39),3.34,7.56
