tipo_celular,module_size,ARFGEF1_MM,ARFGEF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.163,53.0,97,3,3.09,2.91 (2.15-3.67),94,96.91,3.06 (2.65-3.47),3.83,4.94
T cells 18,388,0.118,30.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30),2.79,4.34
astrocytes 5,1141,0.137,60.0,166,27,16.27,2.45 (1.90-3.00),139,83.73,3.61 (3.34-3.88),6.77,4.12
oligodendrocyte progenitor cells 7,448,0.151,57.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70),1.96,17.41
GABA neurons expressing GLU receptors 22,1069,0.242,91.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,300,0.2,62.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,197,0.448,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75,0.182,64.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.167,77.0,297,2,0.67,6.04 (1.64-10.44),295,99.33,3.65 (3.45-3.85),2.58,5.54
oligodendrocytes 20,221,0.147,26.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.147,22.0,306,38,12.42,3.62 (2.95-4.30),268,87.58,5.37 (5.11-5.64),4.93,6.96
astrocytes 8,727,0.089,38.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,143,0.434,53.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.166,57.0,358,48,13.41,2.11 (1.70-2.51),310,86.59,4.24 (4.06-4.42),24.87,7.09
connective tissue cells 21,111,0.145,0.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,377,0.134,37.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,122,0.124,4.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,518,0.141,77.0,122,19,15.57,1.72 (1.25-2.19),103,84.43,4.57 (4.19-4.95),4.98,3.21
astrocytes microglia 23,255,0.25,46.0,57,5,8.77,3.05 (2.43-3.66),52,91.23,2.62 (2.23-3.00),3.31,3.33
astrocytes 4,752,0.164,66.0,96,7,7.29,2.88 (2.05-3.71),89,92.71,3.33 (2.98-3.68),2.60,4.45
oligodendrocytes 0,1186,0.142,46.0,300,14,4.67,4.05 (2.99-5.12),286,95.33,3.78 (3.57-3.99),4.51,4.14
microglia 1,1615,0.131,77.0,161,32,19.88,2.01 (1.52-2.50),129,80.12,3.68 (3.40-3.95),12.36,3.71
oligodendrocytes 3,854,0.093,55.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,347,0.143,19.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72),1.49,2.43
