tipo_celular,module_size,ACADM_MM,ACADM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.085,6.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,727,0.093,13.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656,0.129,71.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50),11.17,4.94
oligodendrocyte progenitor cells 7,4285,0.117,24.0,353,23,6.52,1.73 (1.04-2.43),330,93.48,4.09 (3.91-4.26),33.11,6.32
GABA neurons expressing GLU receptors 22,487,0.215,51.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,1316,0.067,7.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,200,0.178,49.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,65,0.302,97.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,1653,0.062,4.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,275,0.181,41.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402,0.147,24.0,455,22,4.84,1.63 (1.17-2.10),433,95.16,4.54 (4.36-4.71),27.10,7.91
astrocytes 8,520,0.047,11.0,288,12,4.17,2.41 (1.64-3.17),276,95.83,4.26 (4.06-4.46),4.97,4.67
oligodendrocyte progenitor cells 12,3303,0.047,13.0,276,15,5.43,2.27 (1.27-3.26),261,94.57,3.63 (3.41-3.85),15.57,4.51
oligodendrocytes 10,735,0.087,43.0,277,3,1.08,3.67 (2.87-4.47),274,98.92,3.90 (3.65-4.14),3.53,9.00
connective tissue cells 21,126,0.27,46.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,1768,0.071,34.0,105,14,13.33,1.66 (1.21-2.12),91,86.67,3.47 (3.12-3.83),8.52,3.28
oligodendrocytes 16,82,0.216,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.097,30.0,235,19,8.09,3.23 (2.44-4.02),216,91.91,4.05 (3.79-4.31),6.78,4.21
astrocytes microglia 23,125,0.321,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.164,84.0,104,13,12.5,1.56 (1.04-2.07),91,87.5,3.07 (2.77-3.36),15.16,4.00
oligodendrocytes 0,2078,0.113,46.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,1615,0.105,44.0,161,19,11.8,1.29 (0.88-1.71),142,88.2,3.61 (3.35-3.87),14.61,4.20
oligodendrocytes 3,1003,0.071,23.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.138,42.0,154,3,1.95,2.35 (1.58-3.12),151,98.05,3.27 (3.00-3.53),4.39,3.58
