tipo_celular,module_size,CTNND2_MM,CTNND2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.522,94.0,15,9,60.0,5.59 (4.86-6.32),6,40.0,6.71 (4.77-8.65),2.46,2.15
T cells 18,282,0.352,98.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,499,0.133,30.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436,0.181,76.0,219,37,16.89,5.79 (5.13-6.45),182,83.11,5.05 (4.74-5.37),8.95,3.73
GABA neurons expressing GLU receptors 22,459,0.296,88.0,165,28,16.97,3.75 (2.87-4.62),137,83.03,5.40 (5.06-5.74),5.93,3.71
GLU like neurons 17,685,0.222,81.0,135,12,8.89,2.37 (1.37-3.37),123,91.11,3.28 (2.96-3.60),4.00,3.72
da like neurons 11,137,0.414,89.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,288,0.237,73.0,93,39,41.94,4.87 (4.09-5.66),54,58.06,5.38 (4.76-6.01),5.27,2.99
endothelial cells 9,450,0.442,83.0,74,22,29.73,6.27 (5.42-7.12),52,70.27,5.00 (4.32-5.67),5.14,3.00
oligodendrocytes 20,676,0.573,86.0,110,39,35.45,5.19 (4.45-5.93),71,64.55,4.85 (4.29-5.40),4.34,3.08
GABA like neurons 14,1300,0.288,84.0,306,64,20.92,4.47 (3.86-5.08),242,79.08,5.32 (5.04-5.60),13.59,4.89
astrocytes 8,727,0.161,77.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411,0.347,80.0,103,17,16.5,6.06 (5.00-7.13),86,83.5,5.42 (5.02-5.82),3.65,2.97
oligodendrocytes 10,204,0.344,30.0,92,8,8.7,4.63 (3.35-5.91),84,91.3,5.85 (5.36-6.35),5.85,3.52
connective tissue cells 21,250,0.612,87.0,117,40,34.19,4.82 (4.13-5.52),77,65.81,5.76 (5.31-6.20),5.39,2.88
astrocytes 15,443,0.138,38.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,287,0.162,17.0,105,38,36.19,4.68 (3.96-5.41),67,63.81,5.49 (5.00-5.98),3.63,3.38
da neurons 6,398,0.16,54.0,138,33,23.91,3.72 (2.97-4.47),105,76.09,5.19 (4.79-5.58),2.97,2.66
astrocytes microglia 23,166,0.313,61.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,251,0.153,42.0,34,4,11.76,3.18 (1.69-4.67),30,88.24,5.53 (4.95-6.11),2.62,3.13
oligodendrocytes 0,479,0.257,93.0,40,16,40.0,6.09 (5.15-7.04),24,60.0,5.68 (5.12-6.25),3.61,3.38
microglia 1,127,0.411,87.0,24,13,54.17,5.52 (4.59-6.44),11,45.83,4.41 (3.63-5.18),2.48,2.46
oligodendrocytes 3,1003,0.262,99.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348,0.542,99.0,114,34,29.82,5.19 (4.45-5.94),80,70.18,5.07 (4.58-5.56),6.80,3.37
