tipo_celular,module_size,PDE4DIP_MM,PDE4DIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.371,99.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,477,0.111,17.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,222,0.259,72.0,98,4,4.08,1.43 (0.17-2.69),94,95.92,4.68 (4.28-5.08),1.43,2.70
oligodendrocyte progenitor cells 7,666,0.199,71.0,127,7,5.51,1.66 (0.86-2.46),120,94.49,4.00 (3.66-4.33),4.87,5.89
GABA neurons expressing GLU receptors 22,823,0.221,76.0,23,3,13.04,3.78 (NA-NA),20,86.96,2.31 (1.57-3.06),2.09,3.62
GLU like neurons 17,795,0.173,69.0,80,4,5.0,3.76 (2.45-5.07),76,95.0,5.79 (5.38-6.20),2.29,3.05
da like neurons 11,200,0.397,96.0,8,2,25.0,NA,6,75.0,NA,1.56,1.64
GABA neurons expressing GABA receptors 13,238,0.207,70.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450,0.287,66.0,74,8,10.81,4.36 (3.27-5.44),66,89.19,5.62 (5.02-6.22),2.66,3.75
oligodendrocytes 20,403,0.132,54.0,18,6,33.33,0.66 (0.40-0.92),12,66.67,2.48 (1.67-3.30),6.16,2.61
GABA like neurons 14,1300,0.175,34.0,306,19,6.21,3.19 (2.31-4.06),287,93.79,5.27 (5.01-5.54),5.07,6.81
astrocytes 8,1266,0.247,97.0,66,21,31.82,2.03 (1.33-2.72),45,68.18,3.83 (3.41-4.24),3.31,2.79
oligodendrocyte progenitor cells 12,254,0.173,25.0,37,1,2.7,2.43 (NA-NA),36,97.3,4.57 (3.98-5.15),2.14,2.48
oligodendrocytes 10,130,0.399,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84,0.154,9.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,418,0.216,61.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,199,0.184,64.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.108,27.0,138,18,13.04,2.70 (1.84-3.56),120,86.96,5.19 (4.82-5.55),2.70,2.74
astrocytes microglia 23,59,0.527,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255,0.308,98.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,309,0.291,98.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480,0.392,96.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98),2.28,5.19
oligodendrocytes 3,357,0.165,85.0,127,5,3.94,6.25 (5.20-7.30),122,96.06,3.02 (2.70-3.35),2.56,4.30
oligodendrocytes 2,804,0.214,95.0,84,10,11.9,2.44 (1.33-3.55),74,88.1,2.72 (2.37-3.07),2.48,3.52
