tipo_celular,module_size,QDPR_MM,QDPR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.475,91.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.36,85.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,165,0.426,88.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01),1.58,2.98
oligodendrocyte progenitor cells 7,229,0.425,93.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.409,92.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.436,94.0,91,6,6.59,0.97 (-0.05-2.00),85,93.41,4.89 (4.40-5.37),3.91,3.00
da like neurons 11,408,0.366,81.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14),2.49,2.27
GABA neurons expressing GABA receptors 13,288,0.13,26.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,450,0.502,87.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,298,0.112,42.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.41,81.0,455,19,4.18,1.87 (1.04-2.70),436,95.82,4.45 (4.27-4.63),25.52,8.11
astrocytes 8,771,0.595,96.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.498,97.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.424,45.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.355,64.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,458,0.441,96.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,313,0.12,9.0,291,9,3.09,2.42 (1.81-3.03),282,96.91,4.41 (4.18-4.63),2.80,3.85
da neurons 6,409,0.151,62.0,235,15,6.38,3.27 (2.37-4.17),220,93.62,4.04 (3.78-4.30),4.85,4.39
astrocytes microglia 23,54,0.491,78.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102,0.331,82.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,546,0.487,100.0,252,20,7.94,1.98 (1.18-2.78),232,92.06,4.27 (4.03-4.52),19.15,7.27
microglia 1,127,0.36,81.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,127,0.29,62.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16),NA,5.92
oligodendrocytes 2,528,0.427,96.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75),19.41,4.00
