tipo_celular,module_size,AFDN_MM,AFDN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.268,80.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.158,56.0,98,29,29.59,1.87 (1.40-2.33),69,70.41,3.64 (3.32-3.97),7.60,2.54
astrocytes 5,1141,0.135,56.0,166,26,15.66,2.03 (1.65-2.42),140,84.34,3.65 (3.38-3.92),7.00,4.09
oligodendrocyte progenitor cells 7,448,0.115,30.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,1069,0.105,11.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,637,0.155,49.0,91,21,23.08,1.97 (1.30-2.64),70,76.92,5.48 (5.04-5.92),3.22,3.01
da like neurons 11,71,0.368,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,73,0.126,24.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,658,0.384,91.0,120,22,18.33,3.88 (3.20-4.57),98,81.67,4.79 (4.44-5.13),4.20,3.53
oligodendrocytes 20,233,0.143,25.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.098,9.0,306,49,16.01,3.57 (3.01-4.13),257,83.99,5.51 (5.24-5.77),5.82,6.88
astrocytes 8,262,0.167,63.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,153,0.425,56.0,27,3,11.11,2.61 (0.73-4.48),24,88.89,5.40 (4.55-6.25),2.81,2.07
oligodendrocytes 10,130,0.371,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106,0.169,9.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,1768,0.17,96.0,105,22,20.95,1.80 (1.39-2.21),83,79.05,3.58 (3.21-3.95),6.20,3.39
oligodendrocytes 16,94,0.114,3.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,398,0.095,17.0,138,32,23.19,3.33 (2.69-3.98),106,76.81,5.34 (4.95-5.73),2.86,2.70
astrocytes microglia 23,72,0.23,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.151,29.0,95,7,7.37,2.78 (0.88-4.69),88,92.63,3.43 (3.01-3.85),2.83,4.78
oligodendrocytes 0,1186,0.168,85.0,300,7,2.33,2.72 (2.35-3.09),293,97.67,3.82 (3.61-4.02),3.59,4.17
microglia 1,958,0.127,72.0,290,22,7.59,2.85 (2.19-3.50),268,92.41,3.91 (3.67-4.15),5.47,4.96
oligodendrocytes 3,854,0.198,99.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.214,95.0,84,9,10.71,1.04 (0.56-1.52),75,89.29,2.85 (2.51-3.19),2.64,3.49
