tipo_celular,module_size,PSMD11_MM,PSMD11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.218,56.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.109,19.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656,0.121,59.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285,0.138,54.0,353,38,10.76,2.18 (1.77-2.60),315,89.24,4.17 (3.98-4.35),29.16,5.52
GABA neurons expressing GLU receptors 22,1069,0.169,53.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.108,37.0,101,2,1.98,3.45 (2.28-4.62),99,98.02,3.04 (2.68-3.40),3.69,3.04
da like neurons 11,853,0.079,10.0,133,14,10.53,1.43 (0.82-2.04),119,89.47,3.51 (3.20-3.83),6.13,3.93
GABA neurons expressing GABA receptors 13,77,0.128,20.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,385,0.1,47.0,275,36,13.09,2.30 (1.86-2.74),239,86.91,4.33 (4.05-4.60),10.35,5.21
oligodendrocytes 20,271,0.139,34.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.152,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.049,12.0,288,35,12.15,3.03 (2.62-3.45),253,87.85,4.32 (4.11-4.53),6.26,4.47
oligodendrocyte progenitor cells 12,3303,0.043,10.0,276,28,10.14,2.60 (2.17-3.02),248,89.86,3.69 (3.45-3.92),14.85,4.01
oligodendrocytes 10,735,0.095,49.0,277,10,3.61,4.03 (3.69-4.37),267,96.39,3.89 (3.65-4.14),4.65,9.11
connective tissue cells 21,100,0.164,7.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1768,0.079,43.0,105,26,24.76,2.40 (1.91-2.88),79,75.24,3.51 (3.11-3.91),7.54,2.81
oligodendrocytes 16,81,0.178,29.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518,0.084,20.0,122,24,19.67,2.39 (1.86-2.93),98,80.33,4.54 (4.12-4.97),3.85,3.39
astrocytes microglia 23,161,0.246,11.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,787,0.154,55.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.119,59.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),6.40,5.00
microglia 1,958,0.1,33.0,290,11,3.79,3.00 (2.50-3.50),279,96.21,3.85 (3.62-4.09),4.63,5.01
oligodendrocytes 3,854,0.074,30.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.148,70.0,200,7,3.5,2.89 (2.44-3.34),193,96.5,3.65 (3.38-3.93),3.29,3.47
