tipo_celular,module_size,MAN1A2_MM,MAN1A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.155,47.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47),3.40,4.94
T cells 18,727,0.198,86.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.163,87.0,166,6,3.61,1.01 (0.37-1.65),160,96.39,3.50 (3.25-3.75),5.58,4.51
oligodendrocyte progenitor cells 7,448,0.104,23.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,703,0.14,24.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1316,0.088,18.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,200,0.326,87.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,200,0.186,71.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,658,0.195,47.0,120,3,2.5,3.58 (2.58-4.57),117,97.5,4.64 (4.32-4.96),2.85,3.67
oligodendrocytes 20,348,0.08,38.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300,0.239,65.0,306,3,0.98,1.60 (-0.18-3.39),303,99.02,5.14 (4.88-5.40),2.52,6.75
astrocytes 8,771,0.078,29.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,143,0.397,29.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.152,52.0,358,13,3.63,1.06 (0.55-1.58),345,96.37,4.00 (3.82-4.19),38.14,8.39
connective tissue cells 21,96,0.254,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.11,71.0,105,9,8.57,1.69 (0.98-2.39),96,91.43,3.37 (3.02-3.71),6.42,3.75
oligodendrocytes 16,87,0.192,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.114,67.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,109,0.29,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.128,14.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309,0.169,77.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813,0.182,90.0,79,4,5.06,2.65 (1.80-3.49),75,94.94,3.13 (2.70-3.55),4.31,8.09
oligodendrocytes 3,1003,0.091,45.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.12,23.0,200,3,1.5,1.98 (1.70-2.26),197,98.5,3.65 (3.38-3.92),3.85,3.46
