tipo_celular,module_size,GPM6B_MM,GPM6B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.679,98.0,15,6,40.0,6.20 (5.24-7.16),9,60.0,5.45 (4.46-6.44),2.36,2.32
T cells 18,349,0.508,93.0,68,21,30.88,3.64 (2.74-4.53),47,69.12,4.83 (4.16-5.50),2.77,3.56
astrocytes 5,222,0.181,37.0,98,10,10.2,4.40 (3.06-5.74),88,89.8,4.62 (4.19-5.05),3.18,2.59
oligodendrocyte progenitor cells 7,628,0.286,89.0,164,6,3.66,5.57 (3.43-7.70),158,96.34,4.01 (3.68-4.33),2.49,7.72
GABA neurons expressing GLU receptors 22,567,0.59,99.0,16,3,18.75,2.30 (1.85-2.76),13,81.25,1.88 (1.03-2.73),1.63,4.10
GLU like neurons 17,637,0.615,99.0,91,21,23.08,3.88 (2.94-4.83),70,76.92,4.81 (4.20-5.43),3.11,3.04
da like neurons 11,408,0.611,96.0,25,7,28.0,1.35 (0.95-1.76),18,72.0,6.01 (4.72-7.30),2.52,2.18
GABA neurons expressing GABA receptors 13,288,0.324,88.0,93,33,35.48,4.30 (3.60-5.01),60,64.52,5.80 (5.18-6.42),4.78,3.49
endothelial cells 9,450,0.594,93.0,74,13,17.57,5.05 (4.13-5.98),61,82.43,5.58 (4.92-6.24),5.13,3.32
oligodendrocytes 20,938,0.168,70.0,169,8,4.73,2.28 (1.35-3.21),161,95.27,3.55 (3.33-3.77),3.92,5.44
GABA like neurons 14,3052,0.087,11.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.307,81.0,48,8,16.67,5.06 (2.88-7.23),40,83.33,4.34 (3.53-5.15),2.31,3.31
oligodendrocyte progenitor cells 12,708,0.23,81.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08),1.87,2.63
oligodendrocytes 10,204,0.551,87.0,92,16,17.39,6.22 (5.11-7.34),76,82.61,5.56 (5.04-6.08),3.73,3.72
connective tissue cells 21,250,0.535,81.0,117,35,29.91,4.60 (3.98-5.22),82,70.09,5.89 (5.42-6.36),4.70,3.33
astrocytes 15,418,0.343,77.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,64,0.144,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.4,93.0,138,32,23.19,4.49 (3.66-5.31),106,76.81,4.95 (4.54-5.35),2.69,2.75
astrocytes microglia 23,54,0.208,8.0,29,8,27.59,5.59 (4.37-6.81),21,72.41,7.15 (6.48-7.81),2.44,3.00
astrocytes 4,102,0.084,0.0,42,4,9.52,5.70 (4.70-6.69),38,90.48,5.68 (4.91-6.45),2.58,3.22
oligodendrocytes 0,546,0.38,97.0,252,11,4.37,3.23 (1.46-4.99),241,95.63,4.12 (3.87-4.37),7.68,8.23
microglia 1,127,0.506,93.0,24,11,45.83,5.29 (4.06-6.53),13,54.17,5.05 (4.23-5.87),2.63,2.34
oligodendrocytes 3,127,0.208,28.0,45,23,51.11,4.55 (3.32-5.78),22,48.89,4.00 (2.86-5.14),2.35,9.66
oligodendrocytes 2,528,0.559,99.0,175,10,5.71,3.52 (2.25-4.79),165,94.29,4.45 (4.09-4.81),4.52,4.63
