tipo_celular,module_size,PAPOLA_MM,PAPOLA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.141,37.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,610,0.227,91.0,98,25,25.51,1.65 (1.23-2.06),73,74.49,3.70 (3.39-4.01),7.58,2.82
astrocytes 5,1141,0.15,75.0,166,20,12.05,1.87 (1.43-2.31),146,87.95,3.65 (3.39-3.91),8.34,4.03
oligodendrocyte progenitor cells 7,4285,0.099,9.0,353,42,11.9,1.95 (1.61-2.28),311,88.1,4.23 (4.06-4.41),25.92,5.65
GABA neurons expressing GLU receptors 22,703,0.215,68.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,300,0.105,4.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,265,0.074,6.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,77,0.163,41.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21),2.30,1.69
endothelial cells 9,385,0.165,84.0,275,29,10.55,1.61 (1.27-1.96),246,89.45,4.37 (4.12-4.62),15.79,4.71
oligodendrocytes 20,250,0.236,68.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.14,51.0,125,2,1.6,7.59 (7.59-7.59),123,98.4,3.27 (2.96-3.57),2.80,8.71
astrocytes 8,771,0.111,46.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,143,0.47,81.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.082,18.0,358,33,9.22,1.70 (1.35-2.05),325,90.78,4.17 (3.98-4.35),37.13,6.66
connective tissue cells 21,142,0.248,17.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96),2.52,3.38
astrocytes 15,1768,0.07,33.0,105,19,18.1,1.75 (1.35-2.15),86,81.9,3.57 (3.20-3.93),7.20,3.27
oligodendrocytes 16,75,0.17,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.128,52.0,124,3,2.42,2.29 (0.34-4.24),121,97.58,4.25 (3.85-4.64),2.31,3.05
astrocytes microglia 23,255,0.303,81.0,57,2,3.51,3.23 (2.15-4.31),55,96.49,2.63 (2.26-3.00),1.97,3.38
astrocytes 4,255,0.176,55.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613,0.236,96.0,127,9,7.09,2.31 (1.70-2.92),118,92.91,3.14 (2.69-3.60),4.29,6.43
microglia 1,958,0.136,82.0,290,2,0.69,3.02 (2.64-3.39),288,99.31,3.82 (3.59-4.05),9.62,4.97
oligodendrocytes 3,681,0.207,96.0,87,21,24.14,1.64 (1.29-1.99),66,75.86,2.92 (2.61-3.22),7.04,3.35
oligodendrocytes 2,921,0.192,98.0,200,4,2.0,2.60 (1.75-3.45),196,98.0,3.65 (3.38-3.92),7.75,3.38
