tipo_celular,module_size,NRDC_MM,NRDC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.178,54.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624,0.195,80.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.153,78.0,166,20,12.05,2.25 (1.70-2.80),146,87.95,3.59 (3.32-3.85),5.06,4.48
oligodendrocyte progenitor cells 7,4285,0.115,22.0,353,32,9.07,2.07 (1.60-2.53),321,90.93,4.13 (3.95-4.31),23.14,6.56
GABA neurons expressing GLU receptors 22,1069,0.113,15.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1316,0.184,89.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,200,0.178,48.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,73,0.208,81.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,1653,0.116,41.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,348,0.145,54.0,33,3,9.09,3.21 (2.68-3.74),30,90.91,2.68 (2.15-3.22),3.62,3.36
GABA like neurons 14,1300,0.07,5.0,306,50,16.34,4.77 (4.07-5.48),256,83.66,5.18 (4.91-5.45),13.26,5.43
astrocytes 8,771,0.063,21.0,48,12,25.0,6.72 (4.95-8.49),36,75.0,3.84 (3.14-4.54),3.10,3.16
oligodendrocyte progenitor cells 12,218,0.163,37.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.284,87.0,358,37,10.34,1.99 (1.57-2.40),321,89.66,4.16 (3.98-4.35),21.75,8.06
connective tissue cells 21,102,0.205,12.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57),1.35,1.43
astrocytes 15,1768,0.135,86.0,105,19,18.1,2.24 (1.69-2.79),86,81.9,3.45 (3.07-3.83),5.52,3.64
oligodendrocytes 16,149,0.158,30.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,409,0.11,41.0,235,3,1.28,1.19 (0.57-1.81),232,98.72,4.03 (3.78-4.27),9.00,4.36
astrocytes microglia 23,190,0.184,4.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,752,0.154,50.0,96,10,10.42,3.11 (2.44-3.78),86,89.58,3.32 (2.95-3.68),2.35,4.55
oligodendrocytes 0,613,0.153,59.0,127,5,3.94,1.88 (1.35-2.42),122,96.06,3.13 (2.69-3.56),3.48,6.39
microglia 1,813,0.099,27.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854,0.112,73.0,76,2,2.63,2.58 (-2.07-7.23),74,97.37,2.79 (2.46-3.11),2.47,4.78
oligodendrocytes 2,921,0.107,10.0,200,2,1.0,2.73 (1.22-4.24),198,99.0,3.63 (3.36-3.90),5.94,3.44
