tipo_celular,module_size,GLUL_MM,GLUL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.288,80.0,102,19,18.63,2.22 (1.67-2.76),83,81.37,3.81 (3.41-4.21),4.01,2.81
T cells 18,393,0.118,26.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,322,0.264,81.0,58,16,27.59,4.47 (3.65-5.30),42,72.41,4.03 (3.54-4.52),1.89,2.48
oligodendrocyte progenitor cells 7,229,0.196,51.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,567,0.3,81.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685,0.373,96.0,135,24,17.78,2.42 (1.65-3.20),111,82.22,3.35 (3.03-3.68),4.44,3.60
da like neurons 11,408,0.378,84.0,25,6,24.0,1.11 (0.60-1.61),19,76.0,6.12 (4.96-7.27),2.12,2.33
GABA neurons expressing GABA receptors 13,288,0.161,45.0,93,14,15.05,3.23 (2.36-4.10),79,84.95,5.62 (5.11-6.13),3.34,4.06
endothelial cells 9,450,0.117,18.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,358,0.096,28.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.087,5.0,455,33,7.25,2.56 (1.85-3.26),422,92.75,4.52 (4.33-4.70),23.19,7.71
astrocytes 8,603,0.141,79.0,89,6,6.74,1.61 (0.59-2.63),83,93.26,2.88 (2.51-3.24),4.93,6.12
oligodendrocyte progenitor cells 12,708,0.306,88.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236,0.47,44.0,82,18,21.95,4.88 (4.31-5.45),64,78.05,5.04 (4.35-5.73),3.21,4.01
connective tissue cells 21,301,0.203,7.0,158,9,5.7,4.12 (2.94-5.29),149,94.3,4.26 (3.88-4.65),6.20,7.12
astrocytes 15,443,0.155,53.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,153,0.382,60.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.189,64.0,138,21,15.22,3.27 (2.48-4.06),117,84.78,5.16 (4.78-5.55),2.89,2.71
astrocytes microglia 23,166,0.274,44.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,171,0.167,46.0,22,2,9.09,6.16 (5.81-6.51),20,90.91,4.33 (3.33-5.32),2.27,1.99
oligodendrocytes 0,546,0.273,85.0,252,29,11.51,2.50 (1.71-3.28),223,88.49,4.33 (4.09-4.57),16.31,7.16
microglia 1,480,0.13,18.0,163,5,3.07,5.01 (4.85-5.17),158,96.93,3.66 (3.39-3.93),1.58,5.28
oligodendrocytes 3,127,0.426,87.0,45,8,17.78,3.11 (2.18-4.05),37,82.22,4.85 (3.77-5.93),2.09,6.75
oligodendrocytes 2,528,0.466,97.0,175,11,6.29,4.23 (2.87-5.59),164,93.71,4.39 (4.02-4.75),14.23,3.98
