tipo_celular,module_size,MYCBP2_MM,MYCBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.169,32.0,140,25,17.86,4.50 (3.86-5.15),115,82.14,4.57 (4.25-4.89),4.24,3.39
T cells 18,388,0.132,40.0,84,3,3.57,2.29 (2.26-2.32),81,96.43,2.99 (2.66-3.33),2.17,4.40
astrocytes 5,1141,0.148,74.0,166,45,27.11,2.72 (2.26-3.17),121,72.89,3.63 (3.34-3.92),6.03,4.00
oligodendrocyte progenitor cells 7,436,0.061,9.0,219,37,16.89,5.82 (5.11-6.54),182,83.11,5.05 (4.74-5.35),6.70,4.19
GABA neurons expressing GLU receptors 22,192,0.223,82.0,55,2,3.64,2.29 (2.26-2.32),53,96.36,4.10 (3.68-4.52),1.38,3.40
GLU like neurons 17,489,0.071,8.0,42,17,40.48,6.30 (5.42-7.19),25,59.52,5.64 (5.02-6.25),3.09,3.30
da like neurons 11,71,0.136,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.27,90.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11),2.57,4.00
endothelial cells 9,1653,0.176,81.0,297,15,5.05,4.06 (3.15-4.97),282,94.95,3.66 (3.46-3.87),8.34,5.37
oligodendrocytes 20,275,0.191,45.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.094,8.0,306,66,21.57,4.70 (4.08-5.32),240,78.43,5.24 (4.97-5.52),11.97,5.26
astrocytes 8,218,0.289,95.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,411,0.266,67.0,103,24,23.3,6.13 (5.20-7.05),79,76.7,5.38 (4.96-5.79),3.72,2.89
oligodendrocytes 10,2107,0.189,66.0,358,64,17.88,2.19 (1.82-2.56),294,82.12,4.27 (4.08-4.45),23.45,6.43
connective tissue cells 21,136,0.162,2.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA),2.42,1.69
astrocytes 15,367,0.161,63.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,149,0.189,44.0,70,6,8.57,7.32 (6.29-8.34),64,91.43,5.54 (5.06-6.03),2.81,3.36
da neurons 6,553,0.28,95.0,124,13,10.48,3.48 (2.20-4.76),111,89.52,4.24 (3.83-4.65),2.92,3.05
astrocytes microglia 23,229,0.248,33.0,99,17,17.17,4.26 (3.58-4.95),82,82.83,4.31 (3.93-4.68),3.70,3.14
astrocytes 4,752,0.11,5.0,96,17,17.71,3.94 (3.03-4.85),79,82.29,3.18 (2.83-3.53),2.37,4.74
oligodendrocytes 0,1186,0.126,23.0,300,13,4.33,4.18 (2.65-5.71),287,95.67,3.78 (3.58-3.99),3.57,4.18
microglia 1,315,0.188,59.0,144,22,15.28,4.10 (3.43-4.78),122,84.72,4.52 (4.18-4.86),3.43,4.35
oligodendrocytes 3,357,0.132,74.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,804,0.155,54.0,84,25,29.76,2.79 (2.02-3.56),59,70.24,2.66 (2.29-3.03),3.82,3.22
