tipo_celular,module_size,HM13_MM,HM13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.219,78.0,97,12,12.37,4.40 (3.42-5.37),85,87.63,2.86 (2.45-3.27),3.94,5.04
T cells 18,610,0.15,50.0,98,30,30.61,2.17 (1.63-2.70),68,69.39,3.54 (3.20-3.88),5.03,3.60
astrocytes 5,932,0.11,51.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.129,41.0,353,42,11.9,2.36 (1.92-2.80),311,88.1,4.16 (3.98-4.35),22.06,6.17
GABA neurons expressing GLU receptors 22,1069,0.141,33.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.19,80.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.124,45.0,133,15,11.28,1.41 (0.86-1.97),118,88.72,3.54 (3.22-3.85),5.01,4.05
GABA neurons expressing GABA receptors 13,357,0.103,17.0,237,8,3.38,4.07 (3.51-4.63),229,96.62,4.42 (4.18-4.66),5.84,4.13
endothelial cells 9,1653,0.07,7.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,330,0.156,43.0,36,3,8.33,1.29 (1.01-1.57),33,91.67,1.98 (1.61-2.36),2.55,3.18
GABA like neurons 14,2090,0.238,92.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266,0.102,68.0,66,8,12.12,1.03 (0.30-1.76),58,87.88,3.58 (3.19-3.98),3.53,2.87
oligodendrocyte progenitor cells 12,708,0.073,31.0,32,11,34.38,1.73 (0.80-2.65),21,65.62,4.09 (3.13-5.04),3.35,2.21
oligodendrocytes 10,2107,0.065,11.0,358,37,10.34,2.26 (1.80-2.71),321,89.66,4.11 (3.92-4.30),22.25,8.00
connective tissue cells 21,118,0.293,47.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,367,0.077,17.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,121,0.193,35.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.105,46.0,122,40,32.79,2.98 (2.50-3.45),82,67.21,4.75 (4.25-5.25),5.35,2.57
astrocytes microglia 23,39,0.353,58.0,3,3,100.0,7.74 (6.69-8.80),0,0.0,NA,1.48,NA
astrocytes 4,721,0.183,94.0,61,1,1.64,4.05 (NA-NA),60,98.36,2.95 (2.53-3.36),3.22,6.07
oligodendrocytes 0,2078,0.1,22.0,238,7,2.94,2.70 (1.70-3.71),231,97.06,3.67 (3.45-3.89),10.48,4.86
microglia 1,813,0.128,63.0,79,9,11.39,3.92 (2.92-4.92),70,88.61,2.98 (2.55-3.42),3.26,8.50
oligodendrocytes 3,854,0.047,4.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,407,0.109,9.0,122,16,13.11,1.64 (1.00-2.27),106,86.89,3.67 (3.26-4.08),2.95,2.66
