tipo_celular,module_size,SUB1_MM,SUB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.124,23.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),1.77,2.38
T cells 18,393,0.21,77.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,228,0.109,16.0,266,21,7.89,2.33 (1.63-3.03),245,92.11,4.28 (4.07-4.48),8.65,4.66
oligodendrocyte progenitor cells 7,628,0.179,59.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42),8.00,7.52
GABA neurons expressing GLU receptors 22,487,0.234,58.0,73,8,10.96,2.16 (1.22-3.10),65,89.04,2.84 (2.43-3.26),2.32,7.94
GLU like neurons 17,1316,0.144,67.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42),2.52,3.06
da like neurons 11,1220,0.278,77.0,410,14,3.41,2.85 (2.08-3.61),396,96.59,4.30 (4.11-4.49),19.72,7.08
GABA neurons expressing GABA receptors 13,417,0.141,35.0,213,31,14.55,1.88 (1.41-2.36),182,85.45,4.13 (3.90-4.36),8.34,9.91
endothelial cells 9,559,0.141,43.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,330,0.092,18.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40),2.52,3.62
GABA like neurons 14,2402,0.403,80.0,455,35,7.69,2.06 (1.60-2.53),420,92.31,4.58 (4.40-4.76),20.88,7.83
astrocytes 8,520,0.226,75.0,288,14,4.86,2.90 (2.11-3.69),274,95.14,4.23 (4.03-4.44),11.70,4.33
oligodendrocyte progenitor cells 12,3303,0.121,90.0,276,52,18.84,2.27 (1.97-2.57),224,81.16,3.94 (3.70-4.18),9.75,4.03
oligodendrocytes 10,735,0.277,98.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,145,0.312,63.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768,0.056,19.0,105,25,23.81,1.94 (1.49-2.39),80,76.19,3.65 (3.28-4.03),6.61,3.16
oligodendrocytes 16,313,0.133,12.0,291,3,1.03,2.28 (0.29-4.27),288,98.97,4.35 (4.13-4.58),4.72,3.81
da neurons 6,729,0.164,57.0,182,9,4.95,2.11 (1.43-2.80),173,95.05,3.74 (3.48-3.99),4.10,8.75
astrocytes microglia 23,95,0.299,37.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,1807,0.122,14.0,104,29,27.88,1.94 (1.52-2.36),75,72.12,3.26 (2.95-3.58),10.35,3.48
oligodendrocytes 0,546,0.098,10.0,252,30,11.9,2.06 (1.50-2.61),222,88.1,4.41 (4.17-4.66),14.27,7.39
microglia 1,214,0.14,32.0,227,8,3.52,3.87 (3.40-4.33),219,96.48,4.10 (3.86-4.34),18.09,5.68
oligodendrocytes 3,457,0.14,62.0,345,16,4.64,3.17 (2.72-3.63),329,95.36,4.33 (4.11-4.54),15.16,5.23
oligodendrocytes 2,528,0.175,34.0,175,8,4.57,3.70 (3.22-4.19),167,95.43,4.40 (4.04-4.76),17.48,4.00
