tipo_celular,module_size,ZRANB1_MM,ZRANB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.292,90.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727,0.146,53.0,49,3,6.12,3.46 (2.38-4.54),46,93.88,2.35 (1.94-2.76),5.42,6.29
astrocytes 5,423,0.12,28.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.165,90.0,353,40,11.33,2.26 (1.84-2.69),313,88.67,4.15 (3.96-4.33),27.24,5.61
GABA neurons expressing GLU receptors 22,848,0.147,22.0,262,14,5.34,3.13 (2.05-4.21),248,94.66,4.24 (3.99-4.49),5.32,4.04
GLU like neurons 17,685,0.118,41.0,135,18,13.33,2.06 (1.55-2.58),117,86.67,3.40 (3.07-3.73),4.44,3.64
da like neurons 11,82,0.113,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.117,18.0,93,14,15.05,3.60 (2.37-4.82),79,84.95,5.49 (4.99-6.00),3.72,3.99
endothelial cells 9,1653,0.108,34.0,297,7,2.36,3.46 (2.38-4.54),290,97.64,3.68 (3.47-3.88),7.07,5.48
oligodendrocytes 20,330,0.175,52.0,36,5,13.89,2.35 (1.46-3.24),31,86.11,1.85 (1.47-2.22),4.40,2.92
GABA like neurons 14,3052,0.164,71.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68),3.38,8.70
astrocytes 8,577,0.093,56.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78),2.74,4.56
oligodendrocyte progenitor cells 12,3303,0.078,50.0,276,33,11.96,2.71 (2.24-3.18),243,88.04,3.68 (3.44-3.92),13.50,3.97
oligodendrocytes 10,2107,0.042,4.0,358,47,13.13,2.24 (1.82-2.66),311,86.87,4.17 (3.98-4.36),25.82,7.00
connective tissue cells 21,139,0.335,67.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.075,39.0,105,24,22.86,2.39 (1.91-2.86),81,77.14,3.48 (3.09-3.88),7.53,2.93
oligodendrocytes 16,122,0.135,5.0,11,1,9.09,NA,10,90.91,3.57 (3.08-4.06),1.49,1.99
da neurons 6,553,0.101,29.0,124,4,3.23,2.82 (1.13-4.50),120,96.77,4.25 (3.85-4.65),3.70,3.01
astrocytes microglia 23,327,0.294,37.0,120,22,18.33,2.03 (1.58-2.48),98,81.67,4.06 (3.77-4.36),3.90,2.55
astrocytes 4,514,0.193,56.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,2078,0.146,97.0,238,14,5.88,3.50 (2.48-4.51),224,94.12,3.64 (3.42-3.87),6.91,4.90
microglia 1,958,0.132,78.0,290,12,4.14,2.12 (1.52-2.72),278,95.86,3.91 (3.67-4.14),6.00,4.96
oligodendrocytes 3,681,0.079,35.0,87,17,19.54,1.96 (1.42-2.51),70,80.46,2.75 (2.45-3.05),7.89,3.36
oligodendrocytes 2,921,0.144,63.0,200,3,1.5,2.73 (1.22-4.24),197,98.5,3.63 (3.36-3.90),4.66,3.45
