tipo_celular,module_size,ILF3_MM,ILF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.235,65.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282,0.143,26.0,12,3,25.0,5.12 (4.88-5.36),9,75.0,2.70 (1.43-3.96),2.47,6.34
astrocytes 5,1656,0.092,16.0,136,9,6.62,2.07 (1.28-2.86),127,93.38,3.30 (3.02-3.58),6.28,4.90
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,65,18.41,2.21 (1.92-2.50),288,81.59,4.41 (4.23-4.58),19.68,5.44
GABA neurons expressing GLU receptors 22,1069,0.148,38.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,637,0.106,23.0,91,10,10.99,1.13 (0.42-1.84),81,89.01,5.13 (4.69-5.58),3.33,3.03
da like neurons 11,853,0.088,16.0,133,49,36.84,2.17 (1.84-2.49),84,63.16,4.06 (3.67-4.45),5.74,3.24
GABA neurons expressing GABA receptors 13,200,0.122,24.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,385,0.053,3.0,275,72,26.18,2.50 (2.18-2.82),203,73.82,4.80 (4.53-5.07),10.06,4.40
oligodendrocytes 20,228,0.159,34.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,2090,0.119,25.0,74,12,16.22,2.12 (1.91-2.33),62,83.78,3.13 (2.69-3.58),3.26,11.90
astrocytes 8,603,0.077,50.0,89,11,12.36,1.49 (1.10-1.89),78,87.64,2.99 (2.61-3.37),6.20,6.02
oligodendrocyte progenitor cells 12,3303,0.057,23.0,276,56,20.29,2.21 (1.96-2.45),220,79.71,4.00 (3.76-4.25),8.88,4.15
oligodendrocytes 10,483,0.124,52.0,129,4,3.1,3.56 (2.78-4.35),125,96.9,3.42 (3.02-3.83),16.94,19.26
connective tissue cells 21,118,0.296,49.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,268,0.089,51.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,69,0.168,17.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,448,0.1,47.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,53,0.343,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.152,64.0,104,30,28.85,1.89 (1.51-2.27),74,71.15,3.31 (2.99-3.62),9.91,3.57
oligodendrocytes 0,2078,0.153,99.0,238,16,6.72,2.57 (2.15-2.98),222,93.28,3.73 (3.50-3.96),6.05,4.95
microglia 1,958,0.106,42.0,290,26,8.97,3.31 (2.68-3.93),264,91.03,3.88 (3.63-4.12),6.14,4.89
oligodendrocytes 3,743,0.054,11.0,76,3,3.95,3.89 (1.05-6.73),73,96.05,3.14 (2.74-3.54),1.80,7.51
oligodendrocytes 2,1630,0.164,89.0,154,4,2.6,2.92 (1.87-3.98),150,97.4,3.25 (2.98-3.53),3.17,3.60
