tipo_celular,module_size,UGP2_MM,UGP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.177,54.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,477,0.156,45.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.103,16.0,166,10,6.02,1.19 (0.68-1.70),156,93.98,3.56 (3.32-3.81),6.02,4.46
oligodendrocyte progenitor cells 7,4285,0.168,93.0,353,20,5.67,1.32 (0.86-1.78),333,94.33,4.09 (3.92-4.27),35.86,6.39
GABA neurons expressing GLU receptors 22,848,0.253,65.0,262,15,5.73,3.06 (2.06-4.06),247,94.27,4.23 (3.97-4.48),9.01,3.81
GLU like neurons 17,1316,0.209,94.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,102,0.175,31.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,266,0.127,29.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,916,0.083,9.0,302,9,2.98,3.29 (2.49-4.08),293,97.02,4.01 (3.78-4.24),12.99,10.58
oligodendrocytes 20,348,0.215,78.0,33,2,6.06,3.23 (2.15-4.31),31,93.94,2.70 (2.18-3.21),3.96,3.34
GABA like neurons 14,2402,0.266,59.0,455,26,5.71,1.97 (1.35-2.60),429,94.29,4.51 (4.33-4.69),24.18,7.90
astrocytes 8,520,0.093,38.0,288,15,5.21,3.31 (2.67-3.96),273,94.79,4.21 (4.01-4.42),10.99,4.34
oligodendrocyte progenitor cells 12,3303,0.065,33.0,276,15,5.43,1.97 (1.35-2.59),261,94.57,3.65 (3.43-3.87),11.93,4.72
oligodendrocytes 10,735,0.102,54.0,277,4,1.44,3.73 (3.51-3.95),273,98.56,3.90 (3.65-4.14),3.27,9.03
connective tissue cells 21,118,0.217,12.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768,0.104,67.0,105,11,10.48,1.33 (0.87-1.79),94,89.52,3.45 (3.11-3.79),6.23,3.72
oligodendrocytes 16,105,0.237,61.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,553,0.094,24.0,124,5,4.03,2.76 (1.55-3.98),119,95.97,4.27 (3.86-4.67),2.39,3.06
astrocytes microglia 23,58,0.244,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.143,35.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),1.85,5.81
oligodendrocytes 0,309,0.092,10.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813,0.121,56.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854,0.068,23.0,76,2,2.63,1.99 (-1.51-5.49),74,97.37,2.80 (2.47-3.13),3.10,4.76
oligodendrocytes 2,921,0.15,73.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
