tipo_celular,module_size,AP5M1_MM,AP5M1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.179,65.0,19,4,21.05,3.87 (3.55-4.19),15,78.95,2.16 (1.35-2.97),2.10,3.66
T cells 18,282,0.174,47.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656,0.152,95.0,136,4,2.94,4.05 (3.31-4.80),132,97.06,3.18 (2.90-3.46),2.54,5.06
oligodendrocyte progenitor cells 7,4285,0.138,55.0,353,19,5.38,1.75 (1.15-2.36),334,94.62,4.05 (3.87-4.23),31.35,6.74
GABA neurons expressing GLU receptors 22,848,0.118,11.0,262,13,4.96,2.82 (2.08-3.57),249,95.04,4.26 (4.00-4.51),6.56,3.98
GLU like neurons 17,1316,0.086,16.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40),2.47,3.06
da like neurons 11,137,0.071,2.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,266,0.274,90.0,118,2,1.69,2.67 (2.55-2.80),116,98.31,4.78 (4.43-5.14),2.71,4.01
endothelial cells 9,338,0.092,27.0,191,7,3.66,3.31 (2.73-3.88),184,96.34,3.91 (3.68-4.14),6.52,9.26
oligodendrocytes 20,221,0.189,46.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052,0.221,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.073,26.0,288,18,6.25,2.66 (2.18-3.13),270,93.75,4.31 (4.10-4.51),11.28,4.25
oligodendrocyte progenitor cells 12,3303,0.101,75.0,276,14,5.07,2.64 (1.99-3.29),262,94.93,3.61 (3.38-3.83),10.13,4.84
oligodendrocytes 10,806,0.123,35.0,261,12,4.6,2.83 (2.31-3.35),249,95.4,4.47 (4.22-4.71),8.84,5.93
connective tissue cells 21,101,0.372,86.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,458,0.076,38.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92),1.76,2.60
oligodendrocytes 16,71,0.221,79.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,553,0.18,78.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62),2.73,3.04
astrocytes microglia 23,131,0.256,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.17,90.0,104,10,9.62,2.36 (1.27-3.46),94,90.38,2.92 (2.63-3.21),8.53,5.06
oligodendrocytes 0,2078,0.124,70.0,238,7,2.94,3.02 (1.85-4.19),231,97.06,3.66 (3.43-3.88),7.18,4.96
microglia 1,1615,0.112,53.0,161,15,9.32,1.53 (0.82-2.24),146,90.68,3.50 (3.23-3.76),11.70,4.79
oligodendrocytes 3,854,0.071,27.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630,0.163,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
