tipo_celular,module_size,ANKH_MM,ANKH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.326,93.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,727,0.15,56.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,156,0.118,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666,0.101,9.0,127,4,3.15,1.45 (0.75-2.15),123,96.85,3.95 (3.62-4.28),5.02,5.86
GABA neurons expressing GLU receptors 22,487,0.146,19.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,489,0.146,55.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,137,0.35,75.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,93,0.237,91.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.156,71.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87),2.94,5.53
oligodendrocytes 20,676,0.344,61.0,110,6,5.45,2.63 (1.44-3.82),104,94.55,5.19 (4.74-5.64),2.40,3.59
GABA like neurons 14,1300,0.197,46.0,306,17,5.56,2.26 (1.73-2.78),289,94.44,5.33 (5.08-5.59),6.71,6.71
astrocytes 8,771,0.161,58.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,218,0.373,84.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,236,0.496,52.0,82,6,7.32,3.49 (2.90-4.09),76,92.68,5.15 (4.59-5.71),3.36,3.87
connective tissue cells 21,152,0.177,13.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401,0.071,36.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,153,0.445,83.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,307,0.117,48.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,53,0.223,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201,0.144,27.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,261,0.188,52.0,42,3,7.14,1.51 (0.17-2.85),39,92.86,4.33 (3.64-5.01),2.44,2.26
microglia 1,958,0.139,83.0,290,6,2.07,2.61 (0.98-4.24),284,97.93,3.85 (3.62-4.08),4.38,5.01
oligodendrocytes 3,116,0.254,34.0,7,1,14.29,0.87 (NA-NA),6,85.71,4.42 (2.00-6.85),1.60,1.45
oligodendrocytes 2,131,0.182,47.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
