tipo_celular,module_size,RTCB_MM,RTCB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.169,62.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,624,0.136,37.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656,0.085,9.0,136,10,7.35,2.53 (1.58-3.47),126,92.65,3.27 (2.99-3.55),6.27,4.89
oligodendrocyte progenitor cells 7,628,0.116,15.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,400,0.153,25.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19),5.92,2.41
GLU like neurons 17,229,0.233,72.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.09,11.0,410,6,1.46,1.78 (0.77-2.79),404,98.54,4.29 (4.10-4.48),12.64,7.44
GABA neurons expressing GABA receptors 13,101,0.178,63.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,559,0.045,2.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,271,0.161,44.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.204,43.0,455,27,5.93,1.72 (1.24-2.20),428,94.07,4.58 (4.40-4.75),21.99,8.00
astrocytes 8,218,0.033,7.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049,0.094,51.0,235,1,0.43,3.00 (NA-NA),234,99.57,3.83 (3.59-4.06),4.25,7.63
oligodendrocytes 10,735,0.07,29.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.67,8.97
connective tissue cells 21,104,0.288,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458,0.064,29.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.97,2.59
oligodendrocytes 16,81,0.34,95.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,409,0.162,66.0,235,8,3.4,1.78 (1.29-2.26),227,96.6,4.09 (3.84-4.33),5.75,4.37
astrocytes microglia 23,37,0.23,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.119,12.0,104,29,27.88,1.75 (1.43-2.06),75,72.12,3.35 (3.03-3.66),10.81,3.31
oligodendrocytes 0,2078,0.106,34.0,238,8,3.36,3.11 (1.80-4.43),230,96.64,3.66 (3.43-3.88),10.05,4.85
microglia 1,1615,0.076,7.0,161,33,20.5,1.53 (1.22-1.85),128,79.5,3.85 (3.60-4.11),13.15,3.44
oligodendrocytes 3,743,0.047,7.0,76,1,1.32,5.75 (NA-NA),75,98.68,3.12 (2.73-3.51),2.93,7.35
oligodendrocytes 2,1630,0.128,24.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50),1.63,3.61
