tipo_celular,module_size,ZER1_MM,ZER1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.063,3.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610,0.051,1.0,98,24,24.49,2.63 (2.12-3.15),74,75.51,3.30 (2.92-3.68),3.04,4.36
astrocytes 5,932,0.141,86.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.108,15.0,353,27,7.65,2.89 (2.37-3.41),326,92.35,4.00 (3.80-4.19),16.86,7.34
GABA neurons expressing GLU receptors 22,203,0.216,32.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247,0.346,100.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.16,68.0,133,8,6.02,1.66 (0.73-2.59),125,93.98,3.38 (3.06-3.69),5.59,4.07
GABA neurons expressing GABA receptors 13,70,0.224,86.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,303,0.092,21.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,348,0.184,67.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300,0.328,94.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43),6.68,6.71
astrocytes 8,1266,0.152,88.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73),3.98,2.92
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,30,10.87,2.78 (2.32-3.24),246,89.13,3.67 (3.43-3.91),8.89,4.65
oligodendrocytes 10,1277,0.023,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111,0.324,76.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401,0.112,72.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,155,0.281,79.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56),NA,1.65
da neurons 6,307,0.077,12.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,124,0.279,31.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA,1.36,NA
astrocytes 4,721,0.164,74.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25),3.18,6.39
oligodendrocytes 0,1186,0.123,19.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,127,0.087,4.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,357,0.124,70.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407,0.178,72.0,122,13,10.66,2.12 (1.36-2.88),109,89.34,3.52 (3.10-3.94),2.46,2.73
