tipo_celular,module_size,EIF2S2_MM,EIF2S2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.165,19.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,506,0.235,64.0,225,22,9.78,2.82 (2.25-3.40),203,90.22,3.73 (3.46-4.00),11.89,7.47
astrocytes 5,328,0.163,49.0,128,3,2.34,3.03 (2.34-3.72),125,97.66,3.59 (3.23-3.94),15.43,6.55
oligodendrocyte progenitor cells 7,296,0.114,11.0,251,1,0.4,3.22 (NA-NA),250,99.6,4.07 (3.83-4.31),1.83,6.17
GABA neurons expressing GLU receptors 22,823,0.054,1.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,300,0.177,38.0,16,2,12.5,0.79 (NA-NA),14,87.5,2.18 (1.29-3.08),2.04,2.53
da like neurons 11,1220,0.195,55.0,410,19,4.63,3.18 (2.57-3.79),391,95.37,4.32 (4.13-4.51),9.74,7.41
GABA neurons expressing GABA receptors 13,417,0.179,62.0,213,25,11.74,2.55 (1.97-3.14),188,88.26,3.97 (3.72-4.23),7.63,9.96
endothelial cells 9,916,0.325,76.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,938,0.138,56.0,169,15,8.88,2.69 (1.99-3.39),154,91.12,3.58 (3.35-3.80),6.68,5.24
GABA like neurons 14,2402,0.325,71.0,455,30,6.59,2.56 (2.00-3.11),425,93.41,4.51 (4.33-4.70),17.84,8.20
astrocytes 8,520,0.084,33.0,288,12,4.17,2.55 (1.93-3.17),276,95.83,4.27 (4.06-4.47),3.50,4.74
oligodendrocyte progenitor cells 12,1049,0.153,75.0,235,10,4.26,3.44 (2.89-3.99),225,95.74,3.85 (3.60-4.09),12.51,7.40
oligodendrocytes 10,483,0.159,64.0,129,12,9.3,3.63 (3.06-4.20),117,90.7,3.40 (2.96-3.84),17.47,19.37
connective tissue cells 21,145,0.28,41.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,367,0.107,26.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,96,0.168,15.0,102,15,14.71,1.82 (1.26-2.38),87,85.29,3.68 (3.34-4.02),11.59,6.99
da neurons 6,409,0.144,60.0,235,9,3.83,2.26 (1.60-2.91),226,96.17,4.07 (3.82-4.33),3.47,4.45
astrocytes microglia 23,135,0.245,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.132,27.0,104,14,13.46,1.32 (0.93-1.70),90,86.54,3.13 (2.84-3.41),9.00,4.84
oligodendrocytes 0,546,0.173,52.0,252,26,10.32,2.29 (1.79-2.78),226,89.68,4.36 (4.11-4.62),11.95,7.78
microglia 1,406,0.139,33.0,278,8,2.88,4.20 (3.37-5.02),270,97.12,4.37 (4.09-4.65),15.11,6.49
oligodendrocytes 3,303,0.127,46.0,154,4,2.6,3.78 (3.06-4.49),150,97.4,3.61 (3.29-3.94),34.01,11.25
oligodendrocytes 2,526,0.323,68.0,213,3,1.41,4.12 (3.73-4.50),210,98.59,3.98 (3.70-4.26),23.35,7.72
