tipo_celular,module_size,NDFIP1_MM,NDFIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.144,18.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,518,0.152,49.0,131,5,3.82,4.35 (2.34-6.36),126,96.18,3.02 (2.75-3.29),3.25,4.81
astrocytes 5,228,0.108,15.0,266,35,13.16,3.32 (2.76-3.88),231,86.84,4.27 (4.05-4.49),5.06,4.97
oligodendrocyte progenitor cells 7,628,0.127,21.0,164,6,3.66,4.61 (3.65-5.58),158,96.34,4.06 (3.72-4.40),4.02,7.66
GABA neurons expressing GLU receptors 22,848,0.229,57.0,262,30,11.45,4.08 (3.47-4.70),232,88.55,4.17 (3.90-4.44),4.66,4.03
GLU like neurons 17,1316,0.207,94.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,108,0.306,78.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,238,0.076,3.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.167,64.0,191,6,3.14,3.55 (2.96-4.13),185,96.86,3.90 (3.67-4.13),3.02,9.36
oligodendrocytes 20,298,0.169,60.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.414,81.0,455,45,9.89,3.34 (2.76-3.92),410,90.11,4.49 (4.30-4.68),16.02,8.05
astrocytes 8,520,0.154,62.0,288,30,10.42,3.61 (3.18-4.03),258,89.58,4.26 (4.04-4.48),6.64,4.46
oligodendrocyte progenitor cells 12,218,0.342,71.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,806,0.281,76.0,261,10,3.83,3.42 (2.56-4.28),251,96.17,4.42 (4.17-4.66),4.92,6.11
connective tissue cells 21,92,0.302,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443,0.11,19.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,313,0.163,26.0,291,36,12.37,4.04 (3.53-4.55),255,87.63,4.38 (4.13-4.63),5.18,3.62
da neurons 6,409,0.106,38.0,235,4,1.7,3.34 (0.55-6.13),231,98.3,3.99 (3.74-4.24),3.26,4.43
astrocytes microglia 23,255,0.244,39.0,57,10,17.54,3.53 (2.81-4.24),47,82.46,2.44 (2.05-2.83),3.00,3.40
astrocytes 4,752,0.115,7.0,96,16,16.67,3.71 (3.04-4.39),80,83.33,3.19 (2.81-3.56),2.67,4.65
oligodendrocytes 0,1186,0.078,1.0,300,12,4.0,3.47 (2.98-3.97),288,96.0,3.81 (3.59-4.02),6.01,4.08
microglia 1,214,0.11,16.0,227,7,3.08,3.68 (3.15-4.20),220,96.92,4.11 (3.86-4.35),3.38,6.21
oligodendrocytes 3,457,0.068,20.0,345,44,12.75,4.18 (3.79-4.58),301,87.25,4.29 (4.05-4.53),6.21,5.62
oligodendrocytes 2,528,0.071,0.0,175,11,6.29,3.61 (2.53-4.69),164,93.71,4.45 (4.08-4.82),4.54,4.63
