tipo_celular,module_size,DAB1_MM,DAB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.206,41.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727,0.141,48.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932,0.129,77.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,436,0.18,76.0,219,9,4.11,4.13 (2.89-5.37),210,95.89,5.28 (4.99-5.57),9.46,4.40
GABA neurons expressing GLU receptors 22,714,0.227,72.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795,0.109,37.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12),3.70,3.01
da like neurons 11,191,0.508,93.0,93,6,6.45,4.99 (4.26-5.73),87,93.55,5.71 (5.28-6.14),5.07,4.07
GABA neurons expressing GABA receptors 13,77,0.141,32.0,2,2,100.0,NA,0,0.0,NA,1.47,NA
endothelial cells 9,586,0.263,61.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,271,0.064,8.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.292,86.0,306,17,5.56,4.00 (3.12-4.88),289,94.44,5.19 (4.92-5.46),11.81,6.41
astrocytes 8,354,0.038,4.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411,0.417,91.0,103,5,4.85,4.66 (2.45-6.88),98,95.15,5.61 (5.22-5.99),3.03,3.09
oligodendrocytes 10,1277,0.059,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,139,0.191,6.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.063,26.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,149,0.207,52.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.107,26.0,138,9,6.52,3.38 (2.07-4.69),129,93.48,4.94 (4.57-5.32),2.88,2.72
astrocytes microglia 23,59,0.286,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255,0.162,44.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,2078,0.072,2.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,1615,0.078,8.0,161,10,6.21,0.93 (0.28-1.57),151,93.79,3.46 (3.21-3.72),15.95,4.74
oligodendrocytes 3,681,0.065,20.0,87,5,5.75,1.42 (0.26-2.58),82,94.25,2.66 (2.39-2.93),6.45,4.11
oligodendrocytes 2,921,0.139,53.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
