tipo_celular,module_size,CERK_MM,CERK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.133,23.0,102,8,7.84,2.48 (1.43-3.53),94,92.16,3.59 (3.21-3.97),3.54,2.99
T cells 18,282.0,0.106,24.0,241,5,2.07,3.07 (2.47-3.67),236,97.93,4.09 (3.83-4.34),1.66,4.40
astrocytes 5,1656.0,0.07,2.0,136,2,1.47,3.56 (-0.83-7.95),134,98.53,3.20 (2.93-3.47),6.73,4.96
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,11,3.12,1.88 (1.05-2.72),342,96.88,3.97 (3.78-4.15),18.39,7.73
GABA neurons expressing GLU receptors 22,848.0,0.101,6.0,262,4,1.53,0.72 (0.27-1.17),258,98.47,4.23 (3.99-4.47),4.00,4.11
GLU like neurons 17,489.0,0.126,41.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,1220.0,0.172,48.0,410,5,1.22,3.02 (1.80-4.24),405,98.78,4.27 (4.08-4.46),6.39,7.53
GABA neurons expressing GABA receptors 13,266.0,0.214,77.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,658.0,0.176,39.0,120,8,6.67,3.47 (2.84-4.10),112,93.33,4.70 (4.37-5.03),3.95,3.63
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.125,16.0,455,6,1.32,1.87 (0.66-3.08),449,98.68,4.39 (4.20-4.57),11.19,8.80
astrocytes 8,520.0,0.106,45.0,288,4,1.39,2.20 (0.72-3.68),284,98.61,4.21 (4.01-4.41),3.22,4.71
oligodendrocyte progenitor cells 12,3303.0,0.136,96.0,276,11,3.99,2.29 (1.46-3.13),265,96.01,3.60 (3.38-3.83),11.12,4.86
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,73.0,0.307,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.032,6.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.14,67.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,327.0,0.303,40.0,120,6,5.0,2.70 (1.39-4.02),114,95.0,3.68 (3.37-3.98),1.84,2.85
astrocytes 4,1807.0,0.146,53.0,104,9,8.65,1.86 (0.75-2.98),95,91.35,2.97 (2.68-3.25),9.46,5.01
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.153,31.0,163,1,0.61,5.19 (NA-NA),162,99.39,3.70 (3.43-3.96),6.15,5.16
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
